"Index","Product","Date","Stars","Review"
106,"Amazon",2014-07-03,1,"I know you are not listening, BUT   For all of us that have been using Amazon MP3 since the first Android devices came out, this is a major disappointment.  First you snub us with instant video, then you take away tablet support for music and replace it with a beta quality.  This after we have already spent significant money buying music from you.  Sure i can switch to a new service, but i really had no plans too before this, and really did not want to spend the time.  Its hard to understand what your issue is with Android, i am positive that you could develop whatever you want.  I wish you would have never showed up on Android, that way I could have built a library on another service to begin with.  Very dissapointed.  Will have to use the pre-installed version until i can switch my wife and i to something else.  Who would have guessed a pre-installed app would come in handy.  Good luck with your new fire products.  Looks like i will be buying stock in the first amazon alternative that comes along, cause this alienation of such a large customer base makes no business since whatsoever.  You are trying to crush Google, but pushing people to them.  You could have owned the entire android ecosystem pretty much with prime music and video and apps."
108,"Amazon",2017-03-15,3,"Three Stars   Liked it better before changes."
114,"Amazon",2014-08-29,1,"Fool me once, shame on you. Fool me twice, well, you know the rest.   Although, I must admit the number of albums seems quite astonishing, I'm not satisfied for a few reasons. First and foremost: their marketing and cheap gimmick tactics to increase member subscriptions. Signing up for a free trial membership is usually something I'm wary about, but I took the bait this time and low and behold, after one month of use, I was charged a YEAR subscription renewal fee! Most companies will just charge for the next month and that seems reasonable, but surely this is a ploy to increase revenues and artificially inflate membership while skirting customer satisfaction because at the end of the day they bank on folks like myself simply forgetting to cancel their 'free' trial membership. Numero dos: while the music I've listened to has been great, and I enjoy their offline access to albums, they do not have any of the simple user-friendly displays like some other music counterparts (Spotify, Pandora, Grooveshark, etc. etc.). If you're listening on a web browser, it's constantly being opened into new tabs and nothing is intuitive. Also, with no filter to search prime music (when clicking on other music that might interest you) could lead to folks accidentally purchasing products they thought were free. Number three: after resigning to the fact that I purchased this membership, I tried to watch some programs on my tablet and low and behold! Does not work with most Android products. Or Chromecast (to my knowledge). Now that I've purchased the year subscription, I'll certainly give this a shot. But fool me once Amazon, shame on you. You have one year to win me back."
116,"Amazon",2014-08-02,1,"Uninstalled, because it is of no use to me anymore   Unlike others, I don't want to download all my music onto my phone. That would be impossible! I own a LOT of music, and when this app was Amazon MP3, I was easily convinced that I should upload all of my digital music to Amazon, and then I could play it wfrom my phone where ever I was (as long as I had a good internet connection, of course). Got a new phone, and I downloaded the new Amazon Music app. What it shows as 'Cloud'  music is only about 1% of the music I store on Amazon's cloud servers. I can't really review any other feature of the app, because my music is not accessible. I called Amazon, and was told they were working on it. A couple of days later there was an update, which did not fix this problem. Amazon can add all the features it wants, but if I cannot play the music I already own, the app is useless to me."
119,"Amazon",2016-04-28,5,"So very satisfied..   If you have prime, use this!  My musical tastes are vast.  If you sometimes vary far off the beaten path your needs will be met and expanded.So very satisfied... nothing is quite as good as being introduced to music you may like and having them hit the nail on the head.Just make sure you are on wifi when you hit a pocket of awesome tunes."
128,"Amazon",2017-05-29,5,"Music App is BOMBIN!   It's awesome to be able to take my music anywhere!!"
130,"Amazon",2016-09-25,5,"Great solid app with tons of features   Solid app for music streaming and downloading. The best part is that there are constant updated virtual stations and playlist that are spot on. One of my most used apps."
132,"Amazon",2015-09-05,5,"Blown away!   Huge 3dg and staind fan! From the second I listened to it I could hear bits and pieces of them but this is not those bands! This is much harder than 3dg and more composed then staind. I haven't bought an album in 5 years...this was worthy enough to buy and it's been on repeat since I got it! Incredible band and I'm stoked on their music! If you like hard rock with small amounts of metal and insanely good lyrics...buy this album!"
134,"Amazon",2017-04-29,4,"Nice Mix   Great its part of Prime"
135,"Amazon",2015-04-30,3,"COULD be a 5 star...   I loved this at first. I was excites thinking FINALLY something better than Pandora! But day one songs stopped half way through to load like there was a connection issue each time I left home. I was using 4G so I don't get that. since then, it's happening more and more frequently. Whether I'm home or not, on Wi-Fi or 4G. Still keeps stopping mid-song to either load or the app just crashes altogether. It has potential but I'm disappointed I had to go back to Pandora."
139,"Amazon",2017-04-30,5,"Best Music App Ever!!!   This is my favorite music app and I have it on my Fire TV, Fire Tablet and Android Phone. Recent updates to this app on my Android Phone had me wondering why some of my music was missing, particularly music that I purchased and songs selected for my various playlists. The Amazon Music App updates did not negatively affect my playlists on my Fire TV or Fire Tablet. I discovered that it was Google Play and not Amazon that changed my playlists and eliminated some of my favorite songs. I had to go into Google Play and uninstall and disable the Amazon Music app, so it could only be downloaded from the Amazon web site. There were many negative reviews of this app on the Google Play site and now I realize it is because of the changes that Google Play makes to the app on installation and updates. The Amazon Music app will not properly function when downloaded by Google Play. When I installed this app again from the Amazon web site, it was perfect in form and function. No stalling and stopping and no missing songs."
149,"Amazon",2016-01-15,5,"Amazon Music App is the Best In Its Class.   I rate Amazon Music app higher than its two top-rated competitors' apps -- Google Play Music and Audials.  Brilliantly designed user interface that is easy to use and navigate.  Immense library of music.  Also, Amazon Music app works great on Fire tablets and real Android devices, such as Samsung mobile devices.  Amazon nailed it dead-on with its music app.  Woot, Woot, Woot for Amazon!"
150,"Amazon",2017-01-01,4,"Can't remove only the duplicate songs.   Very cool, but there's no way to delete duplicate songs without having to delete all of the copies of the song instead of just the extra ones."
161,"Amazon",2016-01-21,5,"Great.   Have used it ""on the go"". Works great, choice is vast, service is clear and... well, I use it a lot."
174,"Amazon",2017-06-15,5,"Five Stars   Pretty awesome access to tons of music included with my Prime membership."
178,"Amazon",2016-10-17,1,"I used to use Amazon music with my Prime account ...   I used to use Amazon music with my Prime account. Now Amazon won't install on my phone, so I can't. Until it gets fixed I can't give it more than one star."
189,"Amazon",2016-01-17,5,"Animal need MORE MUUUUUSIC!   Gotta love the music! Kinda sad that songs I consider my favorites, that really shouldn't be rare or hard to find, are amiss from this app... oh well,  the pros must definitely outweigh the cons."
190,"Amazon",2014-12-08,4,"is not that bad   The Good: prime members get a lot of free music, buying song is easy, the quality is also very good, like the addition of the lyrics.The Bad: sometimes it crashes, I can't edit playlist without interrupting the music, and I saw that the app drains a lot of battery comparing with other music players. And is a little confusing at first when trying to organize your music.I still gave a 4 star cause of the free music for prime members. Is it wasn't for that I'll give it a 3."
191,"Amazon",2014-10-04,3,"Amazon Prime Music is a good services for digital downloads   Amazon Prime Music is a good services for digital downloads. The Lady Gaga Artpop album I bought was half the price of Google Play app. I also noticed that Google Play matched the price when I went back to compare their price. However, Amazon Prime gift cards in the stores start at $25. ""Whew"", "" Wow""! It's a high price to pay for one album if that's all you need. I don't have a credit card and am on a limited income. What happened to the days of the $10 iTunes card? Overall though it's quite good!"
194,"Amazon",2017-08-01,5,"Five Stars   Easy to use.  Great to have access just about everywhere."
195,"Amazon",2017-03-16,4,"It's okay   I enjoy it"
204,"Amazon",2017-03-20,5,"Five Stars   Love it"
205,"Amazon",2014-07-21,4,"Great, but want more access!   I love amazon Prime Music. The only reason why I give it four stars is because I can't access it on my other devices and also not with our Fire TV device."
210,"Amazon",2014-08-18,3,"Spotify is still a better deal.   I like what Amazon is planning on doing with Prime Music, however the selection is still scarce.  Secondly it feels like, with Prime Music, they (Amazon) still want you to purchase music.  If you like buying albums of a whole artist go you'll like this, but if you like to pick and choose go with Spotify instead.  Also, if you like finding obscure, less known or independent artists on Amazon you're going to run into problems.  Seriously, at  $10 dollars a month ( $5 for students first time) Spotify is a far superior product."
213,"Amazon",2014-09-07,2,"Another bad marketing choice by Amazon dumped over the head of its Prime members as a ""bonus""!?!   I'm a Spotify user, having used Rhapsody for years before that. I don't buy my music to listen to. Given that, let's just say that Amazon Prime's new music addition is really next to worthless. As most of us Prime members have come to realize, the number of products covered by the Prime membership increasingly smaller and is always in flux, at its best. In some cases, it's almost laughable. Now Amazon want to tell us they've added value to the membership by featuring these incidental cuts from a tiny minority of albums that one can hear for ""free."" Not to mention one needs their Amazon Music with Prime  Music app! This is largely a piece of trash. Try getting it off your device once you've installed it! Surprise, it's part and parcel of the increasingly restrictive OS of the Kindle Fire now (don't know about others). What's more, there's no way to opt out of its constantly being loaded into memory.Come on Amazon, isn't it time that you give your Prime customers some credit for choosing Prime? MUST we make _exclusive_ use of every product you offer us as members? It's becoming much more an indentured servitude than a perks membership. Even more, with every product you become more restrictive than before. Do you consider us mindless fools? Really? Gee thanks."
214,"Amazon",2014-07-12,4,"Updated review, using Chrome everything works!   This has not went well for me. Keep getting prompts to download current adobe flash player, already have it. Try to download music importer app, error #5020 'Not connected to net"" odd, since I am. Contacted amazon, waited a day to hear back, then they called me, no help. I waited all day for a call back, no help. She told me to contact my anti-virus company, I have AVG, and I have allowed adobe and importer to download. She said she would call back today, have not heard from them. It's a shame because of the amount of music available."
218,"Amazon",2015-07-09,5,"Amazon is Great!   Streaming works great with the echo of my own library. I don't have prime as a buyer but rather an affiliate because my daughter added me, but I would guess it would be as good a streaming experience as my own library which has the limit of 250 songs in the Amazon Cloud in it plus the ability to add the songs to your library. I haven't a single complaint when it comes to Amazon. They do business the way a business should be run."
219,"Amazon",2014-11-10,2,"Very disappointed, considering looking elsewhere for a cloud service/music player   Regularly crashes and gives errors, I've talked to tech support numerous times, each time it appears to be better for a couple days and goes back to being horribly glitchy and unwieldy.  Sometimes I'll play a song from my device, not even on the cloud, and it will take 10 minutes to load.  Other times, I'll open it and it will immediately crash about 50 times until I can finally start to use it.  I've had this for about a year and had to uninstall/reinstall it probably 30 times because of issues."
227,"Amazon",2017-05-01,5,"My Music   I love my music on my phone while work outside."
232,"Amazon",2015-06-05,3,"Clunky UI, buggy, and uninformative   CLUNKY! Yes, it does the trick, but sometimes I get confused as to where to look for things. Want to see albums by a certain artist? OK, you can do that, but Amazon will give you no release date information on that album. Let's say you're not all that familiar with an artist but want to download or buy their latest album. Pretty tricky to do unless you have Google handy, also!It's also buggy. Several times, I've been told that my Prime tracks have been 100% downloaded. Then, when I'm on the road with no available wifi, the tracks are not listed under my Offline tracks- only under my Cloud tracks! This has happened on more than a couple occasions.Also, when I'm listening to Amazon music and doing other things on my phone such as web browsing, Amazon music will just shut itself down in the background- and this is on a 2014 Moto X, not some ancient smartphone.The interface is just not friendly at all. If I wasn't already paying for Prime, I'd switch back to Spotify in a heartbeat (not that its UI is that much better, but its selection of subscription-based music definitely is)."
233,"Amazon",2014-08-25,3,"doesn't always work   I have used this app for a couple of years and had no problems with the app till the last upgrade a couple of months ago when the app refused to work on my galaxy s3 after a couple of calls with Amazon Tec support a solution came no closer. I have since upgrade my phone and low and behold all of the Amazon apps work once again. I find the lack of resolve on Amazon tec support rather troubling. All though I was promised to be kept in the loop I never was, not that it matters much anymore since I have a different phone"
236,"Amazon",2014-12-27,5,"Buy An Amazon Prime Membership!!  NOW!!   If you don't see an Amazon Prime Membership paying off, just for the free two day shipping alone, then Do It For The Music!! You will Never have a lack of music that you love, no matter what style, genre, or artist. It's All Here!!  And, that's not even mentioning what's available if you have Amazon Fire TV Boxes, or Amazon Fire TV Stick!! At $99.00 per year, that comes out to $8.25 per month!! You can finally say Goodbye to Cable TV, Satellite TV, etc........FOREVER!!!  I Did!!"
239,"Amazon",2016-10-02,4,"I like it. Wish there were more choices   I like it.  Wish there were more choices.  The selection is limited"
247,"Amazon",2017-03-25,5,"Five Stars   very satisfied with this product"
248,"Amazon",2015-12-08,5,"Love the free music on my pc   Love the free music on my pc. Even got it to stream to my Ouya to listen on the surround sound in the living room"
252,"Amazon",2016-01-08,3,"Music buffers, and stalls   For some reason the music buffers even when not streaming from the cloud. Also, it doesn't transition quickly from song to song. There have been many times that I thought my Playlist had ended, but it was just silent due to switching to another song. There is a decent amount of free music. I'm not sure if the ability to use it ends when my Prime membership ends or not."
256,"Amazon",2016-01-09,3,"good, but could be better.   The search function could be more user friendly, and it would be awesome if you could organize your library by genre, so if you want to hear only a specific type of music, you  ould do that. I understand that there are playlists for this, but the amount of songs you can add to each list is limited to like 60. Its better suited to ppl who dont have as much music on it."
257,"Amazon",2016-09-28,4,"Wow!   Totally Great"
260,"Amazon",2017-07-23,4,"Four Stars   like it"
272,"Amazon",2017-11-03,2,"Only if you are dedicated to the Amazon ecosystem   Spotify is easier to use"
274,"Amazon",2015-12-04,5,"Love love love Amazon!   I absolutely love Amazon Prime and Amazon music and Amazon shopping and anything Amazon... Keep it up Amazon!"
276,"Amazon",2014-06-29,1,"Update sucks   This new update will not play music if no cell or Wi-Fi is available. My music is on my device and all I get is the rotating circle looking for service. However, I can play music through Google player, or the device's music player.I didn't even know about the lack of storage on my SD card. Every so often, I get a glitch and need to reset my phone. I should not have to re-download all my music. Before, I would pull my SD card, reset phone, and re-mount the SD card  continue listening to music.Not happy!"
278,"Amazon",2017-05-08,5,"Love my Amazon Music!   Amazon music is easy to use and I can find anything I want to listen to on it. I'm so much happier since I started my service. Since starting it I've dropped my Sirius account and Pandora. Strictly Amazon music for this girl from now on!"
279,"Amazon",2015-08-15,3,"I love the idea of one place like prime to do ...   I have Rhapsody now, so that is what I have to compare it to. I have to pay a subscription for both prime and rhapsody. The difference is, rhapsody is easier and I don't have to pay additional for a lot of the songs. The easier to use would be to much to write. I love the idea of one place like prime to do videos/music/food(way to expensive!)/Shopping but the price and ease needs to get better on prime."
296,"Amazon",2015-10-07,1,"USA issued Credit Card.... seriously?   Music Collection under prime could be better, nevertheless i am happy with it because i don't need my spotify subscription--edit--After enjoying the app for about a week it got disabled because i don't have a USA issued credit card... i wonder why my money and international credit card is good to pay for the prime subscription but not good enough to use/buy music with this app..."
297,"Amazon",2016-06-14,5,"Beats Pandora!!!   Beats Pandora! You can go back and listen to a song again, skip unlimited, no commercials/advertisements, and it doesn't stop playing with ""are you still listening?"""
300,"Amazon",2016-01-26,1,"I have yet to figure out what is free and ...   I have yet to figure out what is free and what isn't.  Got really scared off when I downloaded a playlist and it said 60+ songs bought?  Tried reaching out to Amazon but never received any reply.  I am admittedly not much of a tech person, and so far there haven't been any charges.  I deleted the playlist and went back to Pandora which is dummy proof."
304,"Amazon",2016-04-03,1,"One Star   Really? How about flip a switch And let this run on my Shield Tablet."
306,"Amazon",2015-08-31,1,"Disappointed   I am unable to download purchased music to my phone/tablet.  The only way to access is through the internet. I like to use my purchase music as ringtones and things. However, one can listen to the playlist from one's phone/tablet but not the other way.  They call it offline music. Tried to return for a refund but could not find the option.  I can purchase the album and download it that way."
308,"Amazon",2015-10-22,3,"Not impressed.   It's not horrible, but it doesn't have near the music selection that spotify does. It wants to charge you for so much."
309,"Amazon",2017-11-02,1,"One Star   I did not think I would have to give more money to hear the music when I want to."
316,"Amazon",2015-08-26,1,"Worst app and service ever there is never any good ...   Worst app and service ever there is never any good music to download without paying for it. I would be upset but its included in prime."
317,"Amazon",2017-07-19,3,"Three Stars   Does what it says on the tin."
318,"Amazon",2016-10-28,5,"Music for everyone😁!   I listen to a wide variety of music. Amazon has a lot.I absolutely love the fact that it's commercial free.I am overall happy with it.Unlike Slacker and iheart where you are limited in use Amazon music gives you the freedom to enjoy what you want to hear."
324,"Amazon",2016-08-24,3,"Only use it if you already have prime.   Service seriously lacking many popular songs and artists that are available on other services. The stations are not varied enough and they don't sufficiently adapt to your thumbs ups/downs. App is weak as well. It's worth using since I already have Prime, but I wouldn't pay extra for this."
325,"Amazon",2016-03-08,5,"Music Galore   I love this addition and listen almost daily.  Variety is marvelous!"
327,"Amazon",2014-12-31,4,"good- but annowing Prime option screen   my biggest problem with this app is that it continually puts me on a screen wanting me to choose PRIME music. WHY IS THERE NOT AN OPTION TO SAY NO??? I don't have the access to internet that it would need to run it. Some of us don't live in a city where it's everywhere. I live in a rural area and my satellite internet is so much data per month. That's it. So PLEASE give an option to opt out of that without continually being routed back to that screen."
331,"Amazon",2016-09-29,3,"Good but just top pop   It is a good addition to prime but the music is still just top pop of what they want you to hear. I would like more off beat choices"
332,"Amazon",2017-04-05,4,"Only USA   Huge number of songs and type of music"
339,"Amazon",2016-03-24,5,"Very impressive   I have tried many music players like this in the past, and this is by far one of the most impressive ones. It has an easy search function, and is smooth with no ads (if you are prime user I'm assuming). And it saves your recently listened to stations in one easy to find list. All in all I am quite impressed with this product."
341,"Amazon",2016-03-31,3,"if u want to find music u love and play it on your laptop   i use Roku, and the playlists are hard to sync. if u want to find music u love and play it on your laptop, or phone, its great. if u want to listen to pre made playlists, its not great. if u want to sync to your roku. not so good. and you really cant listen to music downloaded from other sources like u can with google play."
346,"Amazon",2013-02-03,5,"wont open on Samsung Galaxy II --- RESOLVED.   I'm Amazon stuff all the way. But for the life of me I cannot get the Cloud to open with this application. Downloaded smoothly, icon on the screen, opens my device stored music list. But when I try to open the cloud, I get ""Exception #151"" and connection error. I followed all the instructions from the site to get the Cloud side of the application to open, but to no avail. So, I've written this particular app off. My Kindle Fire and my computer and laptop all run the Cloud flawlessly, but not the phone.UPDATE: finally got this to load up and it works fine. now hitches with playback or other issues. Great resource on my Kindle Fire too!"
350,"Amazon",2016-02-27,5,"Amazon is the best way to buy music, period.   I think it's the best way to buy music these days.  You have a selection of what you're looking for,  then you get immediate delivery via download,  house can burn your copy and then save the purchase unopened,  if you want. Plus no driving,  store lines or tax, if you're lucky enough to live someplace that doesn't make you pay it."
352,"Amazon",2016-06-09,1,"Too  much selling   Always pushing to sell us more stuff."
353,"Amazon",2015-09-09,2,"OFTEN HAS ERRORS LOADING STORE   It's a bit of a crapshoot whether or not the Amazon Music Store loads. It isn't an internet issue, or a maximum data usage issue. My phone (which is new and has no problems with other apps) sometimes sits trying to load it for 20 mins after which I cancel for data usage issues. It has a wide selection but if I can't load the store half the time, how can I access the selection???"
354,"Amazon",2017-04-26,5,"super super happy with Amazon Music.   super super happy with Amazon Music."
358,"Amazon",2017-05-06,5,"Music at its best   I really enjoy this site. Songs are so easy to download and make a playlist. It's also very easy to use"
360,"Amazon",2017-03-20,5,"Five Stars   So nice! music for my soul, I Love it"
364,"Amazon",2016-06-07,5,"Five Stars   ALMOST better than Spotify ;)"
365,"Amazon",2017-10-14,5,"Five Stars   I love Amazon music period. On any device it is awesome."
367,"Amazon",2015-03-18,1,"crashes then crashes again   I loves this app til the recent update,  now it crashes and when you try to send a report it crashes after generating the report.  Lovely.  Amazon upped the cost of prime touting new services like prime music but then they can't write an app to let them work, just like prime video this service is sub-par."
368,"Amazon",2016-09-13,5,"Five Stars   😊"
373,"Amazon",2015-08-01,5,"Love it!   Love the service. Had many up to date music and a lot of classics."
374,"Amazon",2017-06-14,5,"Five Stars   I enjoy getting older music"
375,"Amazon",2012-12-16,4,"AMAZON MP3   This app hasn't blown me away or anything, but it does what it is supposed to. I ended up deleting it off my phone, but that wasn't because it was a bad app. My phone just doesn't have a lot of storage so if I find an app that I do not use often, I quickly delete them."
378,"Amazon",2017-01-11,4,"Beware Windows 10   I would have given it 5 stars, however, when my Windows 8 computer crashed, during the transfer to the dreaded and despised Windows 10, I lost the ability to play or rip from Amazon Music.  No one has been able to correct this; so I now purchase cds."
382,"Amazon",2017-09-06,5,"Five Stars   Love buying a single song, accessing from any device, and getting my worship on!"
392,"Amazon",2015-07-30,5,"Loving Prime Music!   I'm loving Prime Music! There is so much music, I can listen to any of my favorites! I even like the generated playlists, which doesn't happen on most of the music sites. I've cancelled my Pandora premium, because I just don't use it anymore since I have Prime."
393,"Amazon",2015-05-04,5,"Amazon Music App Along with Amazon Prime --  A ++   Finally I've foud a space to store and share my choice in music.  I like having the player on my computer and my phone.  Now trying to figure out about storing in the cloud and playing while streaming--or should I download the song?I'm still learning but love this app.  I have Amazon Prime, and they share lots of the music I like for free.Definitely my most favorite music playing app."
398,"Amazon",2015-09-29,4,"I love the mixed music selections they offer its almost like ...   I love the mixed music selections they offer its almost like iTunes Match only better. They already know what albums I'm going to like and suggest them so that I can add them to my play list. Best of all I don't have to pay any extra money it's already included with my Prime Membership. I don't even use iTunes or beats what ever they are calling themselves these days"
401,"Amazon",2014-08-29,2,"Prime Music Service Review   Considering the cost of a Prime Membership it would be nice to see more mp3 downloads for ""offline"" listening.  It seems to me that having more songs streamed to Prime Members wouldn't cost Amazon all that much more money, especially since most of them are VERY old songs!!!  Also, a few more of the newer recordings, or, compilation albums would be nice."
404,"Amazon",2016-03-08,5,"Love Prime Music   It's one of the best features of Prime. The variety of music that comes as a part of the Prime Music subscription is fantastic. Not everything I want is free, but I haven't found anything yet that cannot be purchased. I listen to it all day at work, when I can, and then crank it up at home on weekends. I love Prime Music."
408,"Amazon",2015-08-14,2,"I *LOVE*Amazon Prime Music, BUT...   I was one of the early Prime subscribers, and generally am more than pleased by Amazon, their products and services, and usually have nothing bad to say about Amazon....However, that having been said, while I do enjoy Amazon Prime Music (APM) I am forced to uninstall it.  It is a HUGE, space-consuming app!  Let me elaborate:  I've had this smart phone for just barely over a year.  I don't download many apps and am very selective and careful about apps I do d/l.  APM is terrible about wasting space needlessly, in one of the folders within APM, I found numerous folders with names such as [500] and [47] and [200], etc.  Within EACH of these numerous folders, I found the EXACT same images of album covers, (many/most of which I never played, viewed, downloaded, etc. - most were from the &#34;Recommended for you&#34; suggestions ubiquitous on Amazon, and the other suggestions, etc.,made by Amazon)  Not only does APM d/l and store numerous copies of the same images & data, there's apparently no mechanism to go back and delete the old unnecessary (space-destroying!) data!  Even after using other apps to go through and delete all the duplicate images & data, the app STILL was taking OVER 1.96[GIGABYTES!] -let me make this perfectly clear here, that is nearly 2.0 Gigabytes, NOT Megabytes!!  WHY ON EARTH DOES AN APP THAT MERELY STREAMS & PLAYS MUSIC &#60;need&#62; TO BE THAT LARGE?!?!?!?!?  This is absolutely RIDICULOUS, I *HOPE* someone at Amazon is reading this and looking into this...With APM installed, I was constantly  receiving messages from my phone that space was critical and some functions may not work.  That was correct, I missed phone calls, could not receive texts, etc., and was unable to update my phone and/or other apps I had installed.  This includes my Android system OS, obviously, and virus/malware protection updates, ... and, just to be clear, this overwhelming space-consumption is WITHOUT ANY downloaded music files, and AFTER having used other apps to clean up all the duplicated and unnecessary files!!!  Completely unacceptable, thus it gone, uninstalled.  When Amazon goes through and rebuilds APM so that it only takes up a REASONABLE amount of space on our phones (which are NOT huge space-storage devices, to begin with!), I will reconsider downloading APM to my phone again!"
409,"Amazon",2017-07-18,3,"Could be more intuitive.   The interface is not as intuitive to use in my opinion.  I have one album downloaded, and I have to search for the album to play in its entirety."
410,"Amazon",2015-06-08,5,"Five Stars   i can't live without this, it replaced my iPod!!!  i thought NOTHING could get between me and my iPod."
411,"Amazon",2017-11-08,5,"Five Stars   Love this. I can listen to music while I study without all the annoying adds."
412,"Amazon",2013-12-04,2,"Caused software issues   I had to uninstall this because it caused problems with other software on my computer.  Other programs wouldn't work right and when I uninstalled it, they began working correctly again.  So although it worked, I can't use it on my computer."
418,"Amazon",2011-08-27,5,"best mp3 player, and if it could play drm files it would be perfect   Having my favorite music with me is vital to my enjoyment of the day. It's easy with iphones, but iphones suck, so I really wanted an easy way to put my music on my Android. this app is the answer. not only is it an exceptionally well designed app, but it has very good variety and some extremely nice features that make it superior to itunes (in my opinion. however, being a classical music listener I would love to see a little variety (even though it is already large) in this genre. another problem I have (which is really more to do with Apple) with it is that it can't play files that are drm protected. granted this is a good way to eliminate competition on apples part, but it is exceptionally annoying. this is more or less a perfect app however, and I highly recommend it."
420,"Amazon",2014-12-28,4,"Good Value   Woeks a little quirky when selecting another album to play but it may just me me learning to use it. Good value with the Prime membership."
426,"Amazon",2017-07-13,3,"Three Stars   This app is 10 times better the the Google music app much easier to navigate"
431,"Amazon",2016-12-04,5,"Great Service   I enjoy this service- included in Prime membership, great music selection and I can find basically anything. I don't see the need to use any other music service. Plus unlimited skips and I haven't found a song yet that I couldn't download for free."
441,"Amazon",2015-08-06,5,"Perhaps the best   The music selection is outstanding and the access could not be any easier. Th esuggestions are almost always spot on or very close to what I enjoy and prefer. One more reason that I really enjoy my Prime Membership and plan on being a life long member."
442,"Amazon",2016-06-10,1,"One Star   Just Nope...... Nuff said."
443,"Amazon",2017-01-22,3,"Problems Combining!   I have an audible account in my name and my wife has Amazon Prime in hers. I really wish there was a way to consolidate both accounts. and why the heck cant I listen to music on me echo and my wife is listening in her car? that's just stupid."
