"","Product","Date","Stars","Review"
"11995","Amazon",2012-12-13,5,"Great MP3 music player I like the Amazon MP3 music player and use it daily. It is able to access both the SD card on my phone and the cloud player. Easy interface to use and browse your music.My only gripe is that it puts a delay between tracks even when there is not one on the original album. I like to listen to a lot of Frank Zappa and and other classical music yes, I said Frank Zappa and classical music in the same sentence! and many of the tracks are supposed to blend from one into the next without a pause. Itunes and Windows media player can do this, Amazon MP3 player should be able to do it as well. Try listening to Wagner: The Ring Without Words and the gaps between sections will drive you nuts. I would give this a 5 star rating if they would fix that problem.UPDATE 1/27/14 - Amazon has updated the MP3 player since I wrote this review. Now, the player does not insert the delay between tracks and the songs flow smoothly from one to the other. I can now listen to my Zappa, Beethoven and Wagner as they were meant to be heard - uninterrupted! Highly recommended."
"11999","Amazon",2016-02-19,5,"My newest addiction. Love Amazon Prime Music My newest addiction is amazon prime music. I use the app primarily on my phone. I love the pre-made playlists. Very easy for an indecisive music fan. Just pick what type of music I am in the mood for, or a band I like, and Amazon does the rest. I stream this in the car, in the office, and in the gym. Tons of free music available through prime. No complaints from me. I have tried Milk music, Pandora, and other similar apps. I like Amazon music the best."
"12002","Amazon",2011-05-03,2,"Removed after Cloud Limits Enacted I love the Cloud Drive and Cloud Player. Frankly I had this app frozen on my rooted Droid 2 until Amazon came out with Cloud Player. Now I have a ton of music online and use this player almost exclusively.The main complaint I have is that the Player doesnt remember where I was the last time I ran it. This is a big issue when trying to listen to audio books. Everytime I close the program for a second hit the home key or switch tasks I have to remember where I was in the current track. And then when I reopen I many times have to scroll to find my album, the tack then click cose to where I was. It is just too hard. Save the last location and I give this a 5 star.UPDATE: When Amazon enacted their limits to songs/ storage or purchase this year I deleted it. Storage is so very cheap now especially for Amazon, who does not have to actually store each song, but only a marker saying we have access to the song and there are so many competitors Google Play Music, for instance I can not justify using this app. I downloaded all my songs which took almost a day! then deleted. you have lost me, Amazon MP3, until you give back unlimited storage."
"12003","Amazon",2013-02-14,2,"No ability to save to external SD card I hate to downrate the app to two stars. Overall, the app is a nice player. Unfortunately, the app forces you to save to the phones Galaxy3internal SD card which in my phone does not have sufficient room for my music. The app needs a way to select from the various SD stores in the phone. At this time you have two options, root the phone and remap the phones internal SD storage location or copy the music files to the external SD which breaks playlists.If Amazon were to fix that one problem I would re-rate the app to 5 stars."
"12004","Amazon",2017-04-09,1,"Effectively nonfunctional Prior versions of this app were uninspired but functional. The current version is so poorly designed as to be nonfunctional. I have moved back to iTunes. Near as I can make out, the net effect of this app - if not the strategic intent - to make using this app to access downloaded and owned music so inconvenient that you just go to Amazon Unlimited streaming instead."
"12012","Amazon",2015-08-12,4,"Good service, but... I love this service. It could use some tweaking as far as getting to know my tastes, but I think maybe I need to use it more. The only reason it is not 5 star is because they do not have a whole lot of new using available to listen to for Prime memebers. Otherwise in an are where I have internet, the service works seamlessly and the sound is pretty good."
"12013","Amazon",2016-02-09,1,"Just stay away from this expensive data and battery hog. First: This works fine on my computer, and I like it.Second, there is a very big but : not only was it gobbling half my battery life with the phone app - all while not being used - that it does not do what it must do if it is a phone app. Namely, work on my wifi. I thought that suddenly my the battery on my phone must be weakening. It is not.In order to download the music that belongs to you or use the player services it provides, you have to allow it to get on your phone's internet . It refuses to use wifi. This is bizarre, but what the hey. I downloaded my purchases and thought everything was fine. Come to find out, I would used 1GB of data that I did not even know about. Now, what is that? Then I got busy and forgot to look into it. I haven't used the player in the last week, and now my phone service is notifying me that I have used ANOTHER 1 GB of data!?! What in the world is it doing to use that much. Lucky for me I have a big plan, or I would be paying now.Amazing. Update: I logged out to stop it there is no off button and you can not get it to leave your notifications or stand down otherwise, and now it is got a pop up asking me to log in that you can not get out of by pressing the back button. Amazon can forget it. I am not logging in and out when I want to play music."
"12015","Amazon",2017-05-30,1,"WTF I am trying to understand the logic behind this free music app marketed to people who already pay you a dollar 100 per year. Are you completely unaware that we can already stream music for free elsewhere without a subscription of any kind? Stored on a cloud simply means we control all of your access to music you purchased . I am not going to renew our Prime subscription next year. So far our is just a gateway to additional monthly fees."
"12016","Amazon",2017-11-09,2,"Though I like the concept of Amazon music with prime Though I like the concept of Amazon music with prime, this app leaves a bit to be desired. Specifically it is really slow. I have around 3000 songs on my Galaxy S7. It can take upwards of a minute to change screens. Once I have reached the album, playlist or artist I am searching for, it plays just fine."
"12018","Amazon",2015-11-18,1,"Those services are terrible. Amazon Amazon needs to do some serious fixing on their digital media. I tried music for the first time after getting a prompt that im only using 2 services What happens with my first experience? Try again Later Yes thats what I wanted to see. Same applies to movies. Took two attempts and at least a half hour to get a movie to play. Last time I tried to watch a movie it was telling me I couldnt watch it in HD, not enough bandwidth I have 60 meg bandwidth router 10 ft from TV. Those services are terrible. Amazon. Renewal Im thinking not."
"12019","Amazon",2017-10-05,5,"Amazon Music, is another shining example of the rich features afforded the members of Amazon Prime. I was skeptical of this application and just what music I could get as an Amazon Prime member. I was pleasantly surprised at all the well thought out features and the wide selection of music from all genres . I have an MP3 player and I plan to load it with music from my play lists in Amazon Music. For us Baby Boomers, we can listen to and enjoy all the legendary mucic of our time."
"12020","Amazon",2016-01-03,5,"Thanks, Amazon! What an awesome benefit of being a Prime member! Music creates a time line through our lives. Hearing certain songs take you back to great times, so much so, that you feel through association that you are there.Getting around the Amazon Music app is very easy and intuitive. If you invest a little time, you can create a great playlist of songs that you love. Amazon....Thanks for including this with the Prime membership!"
"12022","Amazon",2015-09-21,4,"Nifty music app. The good:No adsLarge selection overalldoes not cut off the last 15 seconds of music an issue Pandora has never bothered to fixThe bad:Some genres are rather sparse in particular heavy metal and alternativepausing songs for more than a couple of minutes causes the app to replay the song from scratch or shut down altogetherThe search function really needs some work. I have had better luck searching in my browser than I have in the app from my phone.In total, this has become the music app of choice for me."
"12023","Amazon",2016-07-01,5,"Love this better than any other I have used other options for my music. Amazon music is the best so far! I love that I get digital copies of my purchases immediately and can enjoy the music before I recieve my actual CD. I live that with Prime I can share my Amazon options with my household!! I just love Amazon! I used to be an eBay customer but Prime offers so many benefits that the competition can not compare. Having Amazon music on top of all the other great Amazon products just makes it sweeter!"
"12028","Amazon",2017-03-02,3,"I am supposed to be able to hear a bunch ... I am supposed to be able to hear a bunch of it for free, but its difficult to get around in or even to set a group of songs to play one after the other so I can get work done and not come back every 3 to 4 minutes to put on the next song."
"12031","Amazon",2015-07-05,5,"We Love Amazon's Music Service!!!! I have used several electronic streaming TV and music services and Amazon by far blows them ALL out of the water. I rarely have trouble with streaming/buffering issues and I have downloaded it on my computers and mobile phone. The ability to setup playlists for various genres or family members is awesome and I plan on using this for my outdoor speaker system that I also plan to purchase on Amazon. Prime membership is worth every dime with all of the features you receive including the streaming music service. Amazon is my go to place when it comes to online shopping and entertainment. A"
"12032","Amazon",2017-03-02,3,"It was great until the most recent update It was great until the most recent update. Using it was always difficult but the access to the library of albums and music was fantastic, now it is not. I was enjoying listening to albums and songs, creating more playlists, etc. and now it does not provide any entertainment unless I subscribe monthly. I am going back to my IPOD."
"12036","Amazon",2015-12-11,5,"Best music app that I have found so far, and I have used far too many. Easy to use, easy to understand. Every morning I start my day choosing whether to download new music, play my playlist, or listening to a channel. Throughout the day, I know that no matter what I am planning on doing, there is music that fits, whether Ska, Classic, Rock, Pop, Country, everything in one place. I have had different online music programs, some I pay for, some free, and this one is the very best that I have come across.I can listen across all my devices without having to make a new playlist each and every time just by signing into my account."
"12043","Amazon",2014-01-07,1,"Disappointing on Android I have a Galaxy Note 3, and no matter what I did I could not get this app to properly install, nor work.At one point I got the widget installed, but when I would touch the widget all that would happen would be that a grey screen flashes and then you are right back to where you started.When installing other apps, like from the Play Store, after the installation there are usually two buttons presented; open and uninstall . With this app, however, those buttons are ghosted over so you can not open the app even if you wanted to.No luck finding it in the applications folder either..I am so disappointed because I have so much music hosted on Amazon, but can not even get it to play when i really need it to."
"12044","Amazon",2017-07-08,1,"Very difficult, waste a lot of time Difficult to use music that you purchased with other apps on your devices. I have wasted so much time trying to download my songs on my device and not just within this app."
"12047","Amazon",2017-01-01,3,"Decent for just launching. Ok so I have used another music app for a long time.Things that could use some adjusting...Opening the app after closing you can not go to the list you were just listening to.There is no play next option you have to physically move it which can get crazy trying to scroll up and down.I want to be able to see main controls play, skip, pause, etc from any screen, while I am browsing for other music.Get these right and I could completely switch."
"12048","Amazon",2015-03-14,5,"Great way to listen to music you want to hear Great way to listen to music you want to hear. You add music to your library and listen to it. It seems to be a web player like Pandora, but unlike Pandora, it is not a radio player. It looks like there is a way to pre-load songs if you go on a trip, which is great. I will continue to check it out. Best of all there seems to be a random button for all songs in your library without creating a playlist. You have no idea how many devs overlook that feature in music players. it is a deal breaker for me not to have that option."
"12052","Amazon",2016-11-03,1,"CRASH - CRASH - CRASH CRASH - CRASH - CRASH.Every time I try to upload new music the darn thing just crashes. This is not the first time Amazon has used their customers to beta test a new product before it is ready for Prime time. When they do that I start mistaking them for Apple Music. I do not know where to even get help or who to e-mail to register a complaint. Grrrrrrrr."
"12055","Amazon",2014-06-15,1,"Worthless This app is compatible with neither my Kindle Fire nor my Android phone. An Amazon app that does not even work with a nearly new Amazon device? Inexcusable."
"12058","Amazon",2014-05-31,1,"Fix two things, and I am in for 4-5 stars Phone: Nexus 5, 32GB.1 99 percent of the time, I use Amazon MP3 to play my Amazon Cloud songs. I generally list items by Album. Well, when I finish listening to an album, go back to the album list and try to play another, it NEVER works. It just hangs. So every time I am done with an album, I have to completely close and re-open the program. This is extremely frustrating, especially when listening to complilations because....2 Compilations are not grouped under one album. Every single song lists the exact same album name, yet Amazon MP3 creates a separate album for every artist. So you can not just click on an comp and let it play. You have to go back and choose a new song every time, which is maddening when you consider problem number 1 above. I am guessing Amazon would respond that there is something in the metadata that does not flag it as a comp, but come on. If I am in album view, just combine the albums with the same name."
"12059","Amazon",2016-06-21,1,"Underwhelmed by Amazon Amazon allowed me to purchase additional upload space for 250k songs, I uploaded about 20k. They can not provide a good user experience with this many songs. Looks like I will have to cancel and find another service. One good example is that I can consistently try to download an album i uploaded and every time it crashes the app. It is constantly laggy and trying to update even though there are no updates to my music library. It often hangs or crashes for unknown reasons. Amazing that one of the largest tech compaines in the world can not build and app that is not more stable than this."
"12061","Amazon",2016-10-23,4,"Amazon Music Is My Favorite I loved your Prime Music orange app I understand you want to stream..okay. I love the blue color of the app and I finally found my 1500 or so purchases on there. I am amazed about all the music I can listen to… This is my favorite music app. Great playlists too happy"
"12062","Amazon",2017-05-02,1,"No control of content Terrible playback. Content was deleted from my library,and from my offline music by amazon and now there is a darkened out picture and description of album and when pressed says no longer available . I do not like amazon deciding what music should be deleted from my device. I paid for device but amazon has ultimate control ,not for me anymore,I am done with amazon."
"12064","Amazon",2016-12-22,1,"Last update killed offline play for Prime songs WTH Amazon? I have a Prime subscription, which let us me download and play songs offline, but with the latest update every Prime song ie - ones you did not buy directly needs to hit the internet or it will not play. This stops your playlists/albums with mixed songs dead, or they will not play at all if all Prime. Forget about listening on the subway or anywhere else without an internet connection. Such a garbage move. Yet another example of a change that benefits the vendor and screws the consumer."
"12066","Amazon",2017-05-24,1,"I have been a prime member for a very long ... I have been a prime member for a very long time. When I signed up the deal was music with my membership. So, today for the very first time I went hunting the music I was promised. Lo and behold thry want to charge me now. Tell ya what Bezos get your hand outta my pocket. Ya bald headed scrounger. How many billions are enough. Creep."
"12067","Amazon",2015-04-20,1,"Used to be my favorite music app I bought a new Samsung Tab Pro 10.1 and amazon prime music will not stream on it at all, not even the prime stations. If I download to my device they play. I have always streamed from the cloud on my old Tab 2 with no problems. It used to be my favorite music app. Neither amazon or samsung support have not been able to help. So disappointed because I really did love the app before. IF I could get this fixed I would give it 5 stars but for now not happy at all so only 1 star from me. Will be going back to Pandora."
"12068","Amazon",2014-11-24,5,"Fixed and working brilliantly It worked beautifully at the beginning, great addition to prime. But since the last update I can not get into the program without it crashing. Uninstalled, reinstalled no change. Was not the easiest to use in the first place but it worked and was free with my prime subscription. If it starts working again I will rerate but I have sent multiple crash reports and no response.Update: redownloaded when I noticed a different build number. It is now working once again! can not believe I never got a rely from Amazon but they must be at least listen even of they are not writing."
"12071","Amazon",2017-05-16,5,"Must keep for us I love Amazon Music it is a great app I love the simplicity of this app and the large selection to choose from , love being able to download Performance Tracks . This is a must keep for us"
"12076","Amazon",2015-11-20,2,"Has many good titles, but search engine is not reliable Not a very intuitive app. Has many good titles, but search engine is not reliable, input titles or artist names and get nothing found message, then the same titles or artist show up under a different search for something else. Have spent hours downloading tracks to device for listening off line, only to have the whole library disappear from my device without warning. Amazon is a great place to buy items but their customer service and tech support are nonexistent."
"12078","Amazon",2013-12-09,1,"Uh oh...regretting downloading the 3.0.2 update. I used to really like this app, however the most recent update 3.0.2 is not good at all. It seems to have removed the lock screen controls, which was really the reason I used this app. Looks like I will be migrating over to another music player, which is a shame as I am pretty tied in to the Amazon ecosystem and that is where I was getting most of my music. I am totally regretting downloading this update and am considering looking online to see if anyone has the old version so I can go back. PLEASE AMAZON, FIX THIS!UPDATE 12-12-13: There was an update that fixed a few minor issues but still did not bring back the lock screen controls. And now, when using the Amazon mp3 app, some of my songs cut off half-way through for no reason. Really frustrating. I have now migrated over to GoneMAD Music Player. It seems to burn through my battery faster than the old working version of Amazon mp3, but at least it has lock screen controls which is really helpful when listening at work and I have to pause music when I get a call. It makes me both sad and angry when developers try and tinker with a perfectly good app and render it almost useless. let us be honest here...this app really was a gateway for Amazon to get us to use their Cloud Player and buy music through their service. And I understand that and was OK with it. I will use your store...just give me an app that has some halfway decent features and works and we are good. You had that, but now the app is bunk. Just maddening. I will upgrade my rating when the app at least returns the features that were there before the update."
"12079","Amazon",2017-05-15,4,"Good app, Good music app, just wish it would be easier to view and play similar songs or radios when playing a current song or tune from my music ."
"12081","Amazon",2017-10-25,1,"App crashes on my phone almost daily and I never use it I never use it but it crashes regularly typically once a day on my andoid phone, locking/slowing my phone to the point that I have to reboot it. I would like to uninstall or disable but haven't figured out how to do it. Regular Prime user, I use Amazon all the time but this app is driving me crazy."
"12082","Amazon",2017-03-19,1,"DO NOT USE JUST GO TO ITUNES Why use iTunes when you can buy music here that it wont let you download and then still have to buy the same song again on iTunes to get it to a slide show. Terrible interface that would not let me download the song I purchased and not easy to use. Might as well give this sector up Amazon you will never make it in the music delivery business. This is why people turn to youtubetomp3converter and other file ripping sites!!!!!!"
"12087","Amazon",2017-06-15,4,"There are 2 things that bother me. 1 I ... There are 2 things that bother me. 1 I am not sure if songs or albums cost until I see a payment issued. 2 It takes a little while to get to the music."
"12092","Amazon",2015-01-27,1,"this app works perfect on my LG tablet so I would give it ... for the 4.3 update ok... this app works perfect on my LG tablet so I would give it 5 stars if i just wanted to use it there but 99 percent of the time I want to use it on my phone... AN AMAZON FIRE PHONE!!!! and guess what? I can not install it on my amazon fire phone! This is similar to the way it worked on my iphone. This is the app I wanted. You click a song and it plays. SIMPLE. I dont want to add it to a library. There are too many songs I am curious to hear but may not want to hear ever again. This is a five star app but i cant install it on amazons fire phone... BACKUP YOUR FLAGSHIP PHONE, AMAZON!"
"12093","Amazon",2016-12-04,1,"Want the old player back. Well, I used to like your player. This new version is the most irritating app I can imagine. You want me to upload all of my library to the cloud in order for me to add it to my playlists? The playlists that were full and set up how I wanted, and are now depopulated? And for some reason, it takes ages to upload a single song?Screw this app. Just like iTunes and Mediaplayer before it, I will ditch it for an app that plays music, and leaves my play lists alone."
"12096","Amazon",2013-12-26,1,"Once my favorite player, now it is junk. I really liked Amazon MP3 up until this latest update. The reason I liked it more than any other player is that if I was in the car, or anything else, and had the app on screen, I could just tap my screen to pause the music. I do not care if my music downloads to my device, I can move that to my SD, no problem. However, now if I want to pause my music while I am driving, I have to look at my phone, and I do not like doing that. I have switched back to the pre-installed player and unless Amazon puts this function back into their app, the 1 star rating will remain and I will continue to use the pre-installed player while Amazon MP3 stays in uninstalled useless app purgatory."
"12101","Amazon",2016-12-27,1,"What is this even for!? Not really sure what the point of this app is. I have Amazon Prime, and heard I was supposed to be able to use free streaming music... This application does not appear to be associated with that, assuming its even true. However, this application does not appear to do anything. I can look up artists and albums, but there is no available option to purchase, playnot even a demo, or download the music."
"12105","Amazon",2017-10-10,1,"I do not really listen to Amazon music thing wrong with it I have no idea I am not good at making review I would not know what to tell you I do not look for Amazon for music for some weird reason and I can pull teeth reading books unless I have to"
"12108","Amazon",2017-04-20,1,"Wish there was an alternative! Crashes on many albums. Also assumes I want to be online so it is difficult to play music I have on my hard drive. Very poorly executed software. I much prefer Rhythmbox on Linux."
"12115","Amazon",2014-06-28,2,"Current location for downloads is not settable by the user: Amazon music can not be put on the external sd card. I am disappointed because the app will not allow me to save music on external memory micro sd card - which limits/kills the Amazon Prime perk of downloading for offline listening!While you can transfer/put your own music from your PC to the external memory card, anything that comes through the Amazon Music app will only be stored in the main memory. In my case, my 8GB phone Moto G LTE will run out of space quite quickly.Athough my android Android 4.4.3 KitKat shows the move app option, it does not work!I am seriously looking into a different ecosystem which has an app that allows me to store music on the external micro SD 32 GB. I find the app only useful when streaming wifi, although I have to say that, for this particular purpose, there are better pay options out there."
"12116","Amazon",2015-09-24,1,"Takes over your phone! Nice to be able to download my free Amazon Prime Music, but at what a cost! OK, my headline is a little over the top, but is there ANY way to keep this idiotic app from looking at all the music on my phone that has nothing to do with Amazon? I have a LOT of other files, some music, some brain entrainment stuff, and this stupid app insists on listing it all, so it basically gets in the way of finding the Amazon stuff when I want to. I want the Amazon app to handle Amazon stuff, and leave my stuff alone."
"12123","Amazon",2015-06-26,5,"DAVE STAMEY IS JUST GOOD STUFF! I got hooked on Dave Stamey's music, his poetry and his guitar. All fit together with his cowboy voice. My wife and I saw him perform at a Cowboy Poetry Gathering in Golden, Colorado last year. We bought three of his CD's: 1 Come Ride With Me; 2 Twelve Mile Road; and 3 If Ihad a Horse. We both liked them so much that we ordered all his albums--but at the used prices; when you add in dollar 3.99 shipping, the net cost of each album was less than the new one with Prime/free shipping."
"12125","Amazon",2016-01-18,1,"Frustrated, and poor support I am so frustrated with this app on iPhone. I purchased my first album here today, instead of using iTunes, like I normally do, and I have spent 45 minutes of frustration trying to download my songs. I went to the cloud library and saw my album after purchase, selected Download which has now changed to Downloaded, but when I go to my Offline Library they are not there. In fact, there is an automatic playlist for Recently Downloaded Songs and it is empty. How do I view my queue? I have spent quite a few time between Google and Amazon search trying to figure this out, and I am SUPER ANNOYED! I do not think I will ever buy an album on Amazon again.I was finally able to download the album through my computer, and use iTunes to transfer to my phone, but I am so annoyed with this app on iPhone. There needs to be a way to view your download queue, and see what, if any the problem is."
"12127","Amazon",2017-10-30,5,"Goodbye Pandora!! Amazon music is like having a personal, infinite library of just sbout every song in existense with genre shuffle, direct search and NO commercials, no limits on how often you can switch tracks and no constant badgering to upgrade or buy something. Goodbye Pandora!!"
"12131","Amazon",2015-04-14,4,"Amazon Prime Music streaming service has improved Update: Apr 28, 2015: My review went from 2 stars to 4 because with the latest feature additions. They added stations. Pick a genre and play music. No stupid play list. The android app still lacks artist search in the station area.I have tried to like Amazon Prime Music streaming service. This is my second time since its original release. But it just lacks common sense features that other streaming services provide.Pro: One very nice feature that stands out above the others is Amazon’s x-ray. Lyrics display during a song.Con: Amazon Prime is hard to use. Everything is centered on either an Artist or a Play-List. Where others like Pandora, Spotify, and etc have something called a Station. A station is similar genre music.Search for an Artist in Amazon, you get a list of Singles and Albums for that Artist. Now what? Play one song and search again? I personally never want to listen to more than one song of a given Artist. I want Random.You can make your own Play Lists. But that is just too completed to listen to random music of a genre. You can select a preexisting Play List. There are some nice preexisting lists. But after x songs are done, and then you have to select another list.Pandora is still the simplest to use."
"12136","Amazon",2013-12-09,1,"What was once good is no more. Until the last update, this was my primary listening app. Most of the music I listen to is stored on my SD card I have around 30 GB of music locally and the app would play it just fine. Now since the update, it apparently will not read from the SD card my other players still do, so I know they are there and there is no way to direct it to look in specific locations.I will not upload my entire collection to stream as that would be a waste of data and the limitations on Amazon MP3 make that a non-option anyway. I like purchasing music on the app as the prices are usually better than the alternatives, but until they fix the app back to the way it was, I will be downloading them to my computer, then transferring to my phone to use with a different app.Oh, the new interface blows as well."
"12140","Amazon",2012-08-01,1,"BUGGY I used this enough to know its poorly written, which I COULD live with until, the 250 song limit. I do not know how folks that live on their Cell phones do it.Thankfully I have tons of storage at home. I will still use Amazon S3, but this cloud drive is total bs. its really sad they can make you agree to an agreement they can change at anytime, but you cannot. So bye bye so called free player. I do understand they got hammered by the Music co lawyers, but all my mp3 are legal. Its not like amazon is storing a new copy, its called de duplication. They got the hard drive space and its costs them next to nothing. Now the Music co will get a cut, and amazon will too.later amazon, thanks for the so called 6 months of free storage......."
"12143","Amazon",2014-06-14,3,"Amazon mp3 Was Better I have had my galaxy 3 tab for about 5 months now, and had just gotten used to Amazon mp3, when they came up with this new app. I am sure the app has some nice features, which I haven't explored yet, but there is one thing fundamentally wrong with this new app, wich for me, makes it multiple times less functional than the old app. That is it''s portrait only orientation. Why is it so? Because when trying to create playlists, I can not read an entire id tag because it is too long. If you listen to classical music with the opus numbers at the end of the tag, you know what I mean. Fix this, and all the other glitches, Amazon, and you get a 5."
"12163","Amazon",2016-09-27,3,"fix the basics!! look, Amazon--I am SO happy to have acces to my music via my mobile devices. the concept is excellent. the execution, however, needs some major improvement. please FIX the navigation and selection of music. I do not know if it is your Apple interface, but when I click on an album to play it, the app selects random songs from within the album. when I want to play all of an artists' music, same problem. the LAST thing I want to have to do EVERY TIME I go to play my music is fight with the app to get it to select the music I want--you know: the one I put my mouse over and clicked on. this is so basic, I cannot beleive it continues to be a problem. fix it, please, and I will change to the max rating."
"12172","Amazon",2016-04-04,1,"Frustrating, lackluster - I thought Amazon would be a leader for the cloud music experience. This app is incredibly frustrating, and the effectiveness varies by device. I have it on two rokus, two pc's, my iphone, my ipad, and amazon fire. 1. I am a super-user, in that I have over 80k songs in my cloud subscription which says storage is for up to 200,000 - yeah, I know, up to , but it keeps accepting my songs. I kept getting a message that my PC version library could not be loaded because it had over 40k songs. 2. When I try to get in to my library, I get the black computer screen of death that says ah fiddlesticks, if you continue to see this message, contact amazon . I see that message so often, that I just do not even bother. My cache is clear, my computer is up-to-date. Tiresome. 3. Because of problem number 1, I thought I would open a SECOND cloud to split my library. Wellllllll... Now it tells me that my computer can only be associated with ONE cloud account. This is just my experience with the PC version. It works well with Roku, except that I do not get prime. It works okay with the Fire, but the interface with either is somewhat clunky for a large library. I am phasing out not only using this app, but purchasing digital music from Amazon."
"12173","Amazon",2017-04-19,3,"Too cumbersome of an App. Takes up too much space in phone storage and uses up too much RaAM, cannot be shut down nor turned off neither. Kept crashing my phone even when it was not in use. Only thing good is that some music comes free with the App."
"12176","Amazon",2014-11-03,1,"Amazon Prime Music app Just bought a brand new LG G3 and first day updated my Prime Music library done on my Kindles originally with some new playlists. The NEXT day, my phone was unable to open the pre-installed app without getting the following dialog box: Amazon Music app has crashed. I tried to uninstall not able to without jeopardizing other apps. I even tried going into the Amazon App store to download again, with same results. Very disappointed if this app will not work on my new phone and also just realized it will not work on my 2nd generation Kindle Fire."
"12178","Amazon",2014-06-12,1,"Is there a way....... to give no stars.....this is such a poor app. I am really disappointed that Amazon would put out such a pathetic app. It simply does not work,and to top it off, it opens itself to portrait view, and there is no choice for landscape view,what the hell."
"12180","Amazon",2016-02-11,1,"Inability to share digital content with household drives me away Inability to share prime access with household drove me into google's arms. I have no idea why Amazon does not let me share digital content with my wife the way they do with prime shopping.I would be Amazon all the way for movies, music, audio books, etc if this were true. But I am not paying another dollar 100 for my own prime account and having all my digital content segregated from my wife's account."
"12195","Amazon",2016-05-27,4,"Prime music has better radio and lists than Spotify IMO Prime music has better lists than Spotify and radio stations. I haven't experienced a repeated song in the radio stations, and new cool stations are suggested very often using the power of math. that is nice. The only issue is that I think that the library is not as huge as spotify which may be a problem if you look for specific songs very often."
"12202","Amazon",2014-06-29,2,"quite buggy I was looking for a cloud/PC app that would allow me to ditch GooglePlay's music app on my PC and android phone Samsung Note3 is what I presently have. GooglePlay will allow you to upload your entire library from your PC, either iTunes, Windows Media player, etc. Its pretty good, all the songs uploaded and you can create playlists and download those playlists to whatever device you are using.Amazon's does that, pretty much. However, not all songs uploaded. I tried rescanning and rescanning, and ever time it finds a few more songs to upload. One album of mine in particular it absolutely refuses to upload. Nothing is wrong with the format, or any of the locations I tried moving the songs to in order to try an upload... just tells me there is not anything new in the folders to upload. And no, they are not in the amazon library at all with me just missing them. I checked the entire darn thing.Also, it uploaded quite a few songs multiple times. Some songs will not play all the way through. I can not seem to find a way to move an entire playlist to my device instead of just streaming the music using my data that I am limited on. Since I do not have a wifi connection at work, this is pretty much useless for me.I like that I can use amazon prime music and get a lot of songs free, but since I can not get the app to work on my computer anyway tried many times, and I am tech savvy enough to be able to do that kind of thing Amazon music is not for me just yet. Amazon, I hope you can fix these items, you are so close! happy"
"12205","Amazon",2017-02-23,1,"For Roku App This is a review for the Amazon Music App for the Roku. I will preface this by saying I have a Fire TV, And a Fire stick, yet My Roku Stick's app will not let me stream Amazon Prime Music unless I own it. Why is the app features not the same across the board? Amazon has always claimed they did not make a lot of money on the hardware but it was a way to entice people into joining Amazon Prime. I probably should not be venting on this site but maybe someone will listen. I still like Amazon Prime but there are some chinks in the armor. It will be interesting to see some of the decisions they make in the near future."
"12209","Amazon",2014-11-13,2,"me to stream prime songs on roku pleased with the app on the phone but very disappointed to find that all of the prime songs that are available are unable to be streamed on the Cloud Player for the Roku box I do not understand why this is possible because all the prime available movies are able to be streamed on the application for the Roku box why can not the prime eligible Songz be available for streaming on the cloud? I am a very loyal Prime member and I wish that I could play my part I am sold on the Amazon Cloud Player on my Roku"
"12213","Amazon",2017-03-06,3,"What I do not like I do not like how it cancel your usage of music"
"12214","Amazon",2016-07-20,5,"Awesome it is the best I totally love having my music here I love how easily it downloads when I purchase it it is definitely cool sometimes it does freeze but hey that is expected it could possibly be my phone"
"12215","Amazon",2017-01-09,1,"Lack of cross-compatibility between music services has led me to ... Lack of cross-compatibility between music services has led me to the place where I rarely purchased music anymore. I miss the days of CDs when this was not an issue."
"12217","Amazon",2016-05-02,2,"Coming from spotify subscriber I miss spotify simple and easy gestures. From just being able to slide down the album cover from the top instead of having to press an arrow from the left top cornerfurthest angle to reach when using dominant hand. Why is it that I have to add a song to the cloud in order to make a separate playlist. That very feature will cause accumulation of different music types. Also the lack of music choice feels significantly limited. Change the layout too it is just so boring and unorganized. Also add dates of albums to know what is new and maybe popularity LEVELS of music. there is potential but there a lot to work on. One thing I do like is the lyrics. But please look at your rivals and actually compete.-iPhone 6s user-"
"12218","Amazon",2017-06-27,4,"Nice app Good if you have prime already. it is a shame you have to pay more to get all the music choices. If I did not have prime, I would not pay for it. Too many cheaper options out there, but it is a great perk with Prime. It does need search improvement. Sometimes I know certain genres exist but it does not know how to found the right style."
"12220","Amazon",2015-01-05,5,"I never thought that I would find something better. But with Amazon Prime there is so much free ... I was a loyal Pandora subscriber for 4 years. I never thought that I would find something better. But with Amazon Prime there is so much free music that in a couple of months, I have got 1000 songs. Sometimes I listen to music by album, sometimes by artist and sometimes I just play the songs in alphabetical order. I haven't had time to watch the free movies yet but I have checked through the titles and there is plenty that I would like to watch. I am also looking forward to watching Transparent, the original series with Jeffrey Tambor."
"12224","Amazon",2017-05-19,5,"Love using Amazon music everywhere I go Love using Amazon music everywhere I go. I have Amazon prime for music, movies and shows and am extremely happy with the selection. I know other choices has more at this point but for the price of prime it is worth it."
"12226","Amazon",2017-05-29,5,"Incredible Its incredible. So current. Great recommendations based on picks. Hardly ever quits. Good sound"
"12228","Amazon",2017-06-07,1,"SAD. SAD. SAD. After reading ALL the reviews it looks like Amazon is becoming just like AT and T , GREEDY; continually increasing prices. I have no intention to download this App."
