prod,title,author,date,stars,comments
Pandora,Five Stars,Me,24-Aug-14,5,Greatest ever
Pandora,Really enjoyed the new app,William,17-Sep-15,5,"Really enjoyed the new app, as my wife has been using Pandora for years now.  I love the various categories of music which allows you to play tailor towards your favorites.  I waited too long."
Pandora,Pandora is amazing -- a huge value in my life!,Andrew Cohen,1-Jan-15,5,"I love their service of providing super music all the time.  I love these dedicated stations of mine.  The three main ones are early classical (when I'm working), piano jazz when I'm doing light tasks and driving, and classical guitar while dining."
Pandora,Great music,Amazon Customer,13-Sep-16,5,"Constant good music, always accessible, for all occasions! Makes it enjoyable to listen all day a and night."
Pandora,I liked the music but it took over my phone and ...,Marlenia P.,8-Apr-16,2,"I liked the music but it took over my phone and would not let me turn it off. I had to contact mayday to fix it, then I removed it from my phone."
Pandora,One Star,Amazon Customer,2-May-17,1,"Not available in South Africa, such a pity!"
Pandora,commercials,Tom M.,28-Mar-14,4,"Music is great, but nothing in life is free. A few to many commercials. Some times I struggle to find stop button. They call it quit"
Pandora,Pandora on Kindle is a great combination.,Bryan C Seymour,9-Dec-13,5,"Pandora has become my go to place to experience new music. I'm still old school enough to find an artist I like and then buy the CD (soon I'll be buying the vinyl). The Pandora app runs great on my Kindle Fire, so now I find myself doing more ""music research"" when laying in bed before I turn the lights out for the night."
Pandora,I love it,Linda K.,31-Jan-17,5,"Although I basicly stay on one channel it is awesome, they always play the best songs"
Pandora,I enjoy listening to the mix of music that happens as ...,Whits End,31-Dec-14,5,"I enjoy listening to the mix of music that happens as Pandora interprets my likes and dislikes.  It is very easy to use, easy to pick your own type of music, and easy to say 'I don't like that' when something is introduced that grates on my nerves."
Pandora,Not as good,Dennis M. Philpot,29-Dec-16,3,It used to be a lot better.  They still play good music but have too many commercials
Pandora,Four Stars,Marvin R.,7-Jan-17,4,"I guess after you get good with it, it may be good. Until then it is quite difficult."
Pandora,"Pandora used to be good, until they added strict limits on how many ...",Josh,5-Sep-16,2,"Pandora used to be good, until they added strict limits on how many songs you could skip during the whole day and shoved a commercial down your throat every other song. There's way better options out there."
Pandora,Five Stars,Emmanuel Dada,3-Jun-16,5,Great
Pandora,"Great Music, more choices,",Charlotte Ragan,7-Dec-13,5,It works for me.  I love it.  I live in an apartment building and my neighbors say they hear Pandora coming from my apt. and love the music.  Some also use it.  I'm 66 years old and find it difficult to listen to my car radio.  There is less music on the car radio then ever before.  I like having choices and with Pandora you do.
Pandora,Freedom to listen to the songs you really love,Sunflower,28-Jan-14,5,"I like that I can select the songs and artists that I like to listen to, and I can give songs it ads that are similar a thumbs up or down.  Also I can listen to Pandora while I play games on my Kindle fire. Thanks to my grandson for telling me about Pandora as he also uses it, and he showed me how to use it.  Love it."
Pandora,Awesome customizability yall,Amazon Customer,7-Jul-16,5,Love this app.  I know its been around for years now but I just decided to check it out.  Love customizing my own stations.
Pandora,Pandora service,Little Al,1-Apr-14,4,I enjoyed using this program until they raised the price of the service. It is a one of a kind program  because I could develope the music folks I listen to most offen. Now I just stream the general music I like. The Pandora music program is still free to use but with advertising coming on every so often.
Pandora,Love it!,neffy,9-Oct-13,5,"I didn't realize how much I would enjoy the Pandora app. I carry my Kindle from room to room or out on the porch and have constant, great music that I like. No more tuning in a radio. Really like that it identifies the artist - there are songs I've heard before but didn't know who was singing. Just this app alone makes the Kindle worth it!"
Pandora,This is a really good product.,Louise Bishop,8-Jun-13,4,"I like this very much.  Its a little hard to figure out how to work it.  Are there any instructions?  Don't know where they are.  But the fact is once you get it started, its really terrific.  The music fits my choices exactly.  They know what I like better than I do. Very enjoyable on my Kindle Fire. Nice to make good use of really good sound on the Kindle Fire."
Pandora,Broken app no longer!,Pat Krave,8-Aug-15,5,Thank you for fixing.  We are going back to 5 stars.  PANDORA!!!  Have you even noticed the comments since your last update?  Hope you are working on a fix.  Thanks for bringing me music before that.
Pandora,Four Stars,Amazon Customer,7-Jan-17,4,"love it so far, still trying to learn what it can do and understand how to do things"
Pandora,Best music station ever,Devin,22-Jul-15,5,I Downloaded Pandora on my Kindle and instantly fell In love. I work on the beach and this is my go to app for music from every genre. I love how it let's you create your own station. At anytime you can pick up my Kindle and Pandora will be on.
Pandora,Da BEST!!!!,$LeAira$,31-Dec-15,5,"This is my favorite music app everrrrr I use it all the time,  LITTERALLY.  _Ÿ˜ƒ I recommend this app for anyone looking for a free,  good working,  efficient app!â_êâ_êâ_êâ_êâ_ê"
Pandora,Pandora gets 5 stars for classical selections!,Carol Wordsmith,8-Mar-16,5,"For Christmas, 2015, I received a great gift of a Kindle Fire tablet, as well as a really nice headset.. I recently discovered Pandora and was very pleased with the site. I e;njoyed exploring Pandora and setting up ""stations"" for future listening. I am most impressed with the classical selections on Pandora. I know I will come back to the site over and over to see what's new."
Pandora,It was absolutely amazing and so enjoyable,Berniece SKinner,5-Nov-15,5,We listened to Pandora all the way from Oregon to Palm Springs instead of Sirius.  It was absolutely amazing and so enjoyable.  And let's not forget how much less expensive it is.
Pandora,Best ever !!!,John Haas,18-Jul-17,5,Outstanding  program !!!!!!!
Pandora,I love Pandora. It allows me to listen to all ...,Amazon Customer,21-Jun-16,5,I love Pandora. It allows me to listen to all the music I like whether on one station or several stations. Absolutely love it.
Pandora,I Love it! I listen to it all day at ...,Shiela R. Stowells,12-Mar-16,5,I Love it! I listen to it all day at work and just recently downloaded it to my phone.  I can pick the music I feel in the mood for. 5 stars from me.
Pandora,"Pandora is a great app, although I prefer I Heart Radio, as it doesn't need Wi-Fi.",Leifur Castle,27-Jan-16,5,"Pandora is a great app, although I prefer I Heart Radio, as it doesn't need Wi-Fi.  I am able to create stations and playlists of my favorite music, which allows me to simply click on my favorite Irish playlists, and hear my favorite drinking songs!  I love this app!"
Pandora,Five Stars,Amazon Customer,22-Aug-17,5,"So far so good with setting up, selecting, and playing."
Pandora,short amount of time,Vicki hartman,1-Jan-14,5,"In the short amount of time I spent on Pandora the first time, I was able to find a mess of songs and artists that I enjoy.  Now I just need the time to go back for more.  I couldn't find my favorite Christmas CD at home, but found some pleasant music to listen to on a very snowy holiday complete with a crackling fire !!!"
Pandora,Pandora will not allow me to get in.,Amazon Customer,23-May-17,1,"Says ""unable to play music"" ALL the time.  Vary disappointed."
Pandora,Good stuff,jw,20-Nov-15,5,I live this .. I don't listen to the radio very much but this is wonderful to have. I can determine what will be my regular songs & what will be the songs I don't want to hear
Pandora,"Love, love",Phred Phlintstone,5-Aug-16,5,"Love, love, love having someone else choose music for me. I pick a style I want to hear, and Pandora does the rest."
Pandora,Pandora application for Kindle,Bill Phillips,24-Mar-13,5,One of the main reasons for buying my Kindle Fire was so I could listen to Pandora in my house through my stereo and also out in my shop through another stereo. It works very well. It is not quite as user friendly as the one on my Macbook but I think with a little time I will learn new tricks and shortcuts. I am very happy with it overall and very grateful to get it for free.
Pandora,All you need.,Frenchie ..thats all you get,13-Sep-16,5,"Almost anything you want. Even ...Mother's of Invention...best part.. No messing around start it ,it plays"
Pandora,Good buy,Eldon,6-Sep-17,4,Avail on many devices. Good selection of stations. Easy access. So far no problems.
Pandora,Overall,Jan Morrow,11-Sep-17,4,Overall - Great.  Could use a little more material.  Start to hear several repeats.
Pandora,Too many ads,adpanda,3-Aug-15,3,"Good music, like being able to select favorites and skip songs, but the ads are loud and annoying. I use this to play lullabies to my daughter and inevitably a commercial will come on and wake her up."
Pandora,Five Stars,BJR,3-Jan-15,5,"Really happy with this app.  Add stations then shuffle, couldn't be easier to customize the music."
Pandora,Five Stars,Takisha,2-Dec-16,5,I enjoy having music that I create playlist stations for at my disposal. Love this app!
Pandora,Great app,michelle mogavero,16-Apr-15,5,"Awesome app. Free version works great. If you don't mind the commercials every now and then, I see no reason to purchase the paid version. Great for getting to know similar or new bands that relate to bands you already know."
Pandora,good games or not,the AWESOME GAME EVER,26-Dec-15,5,This is technically an app but this is amazing if you like music and if you're always busy and want to listen to music when you're doing something.... I LOVE THIS APP
Pandora,Love it,Lovely Day,4-Sep-17,5,Love the selection of music
Pandora,Five Stars,Amazon Customer,4-May-17,5,excellent music. use a lot.
Pandora,not what I expected,F. J. Goslin,9-May-14,2,I'm sorry that I couldn't make this any better but it doesn't do what I thought it was supposed to do. I wanted to make a play list with an artist. But all this would do is play one selection by the artist and then it started playing other artists that I never heard of...not for me any longer...
Pandora,Like Pandora BUT..........,Amazon Customer,7-Mar-14,3,"I have had a Pandora account for a longtime but had not used it in quite a while.  When I downloaded it on my new Droid XX, I found it very annoying because the ads out number the music.  I found the monthly fee to avoid the ads to be twice as high as it should be.  In the past I paid $15 for a subscription."
Pandora,Great site!,Elias Hane,18-Jan-13,4,"Great site with extended and complete information about songs and artist.Unfortunetly too much advertisment, but the service is excellent."
Pandora,Pandora,Paul,15-Oct-16,5,Like it a lot lots of music choices and really easy to use very happy with it don't change a thing
Pandora,Pandora Music App,Brian Clausen,18-Mar-14,5,This is an awesome App to purchase if you are looking for a music App that learns as you check whether you like the song it plays at the time. You can create individual band name folders and click thumbs up or thumbs down to make your selection for that individual band you have named each folder you are listening to. It learns as you make your selections and narrows the music it plays until it eventually plays nothing but the band name you picked for each folder. If you want to narrow your search even more you can create folders for specific album names for the band you select. I very highly recommend this App.
Pandora,Replaces XM radio,Buk Wyrm,16-Mar-14,5,This service replaces my XM radio. Preferring to go ad less I have tried the 1 month free trial and will continue based on my experience so far . I have created my own stations and tuned in the stations created by genre. These have been very satisfactory. Even paying for premium service it is less than Xm.
Pandora,Love pandora!!!!,Katrinka Rosado,17-Apr-14,5,"I thoroughly enjoy listening to Pandora. I can listen to any of my favorite artists anytime, anyplace day or night. It is such a great way to carry my favorite music with me anywhere. Get on board. Its' a must have.!!"
Pandora,Pandora plays great music based on your choice of performers,Janet Gray,24-Jun-16,5,I am a music lover. Pandora plays great music based on your choice of performers. Songs played that I hadn't heard in years.
Pandora,Four Stars,Maxine Pierce,22-Oct-16,4,Pandora carries most of the music selections I like and the commercials/advertisements are short
Pandora,Five Stars,Coach B...10,16-Feb-15,5,Love it...
Pandora,One good and free app from Amazon Market for BB 10,Sambosia,5-Nov-14,4,I used to have Apollo (Pandora Radio Client) on my Blackberry playbook and got used to it especially it got no advertisement.  Now with Pandora I got the same good music but ads are there.  It works great on my Blackberry Passport and I highly recommend it.
Pandora,Great App,Cyndi Nelson,26-Apr-13,5,This is a great app for those who love music.  Works great on any device and I is easy to use.
Pandora,Five Stars,Marcia Rocksund,3-Jan-17,5,NICE TO BE ABLE TO CHOOSE WHAT I LISTEN TO!
Pandora,PANDORA APP for polaroid tablet,Amazon Customer,1-Dec-12,1,I use this app on all my devices and I bought a polaroid 8 in tablet for both of my children for christmas.  I decided to open one to test it out and this app doesn't work.  It loads but never plays the music. It just constantly changes the song and never plays.  I deleted and re-downloaded the app and the same thing happened.  I will open the other tablet on christmas and see if it works then.
Pandora,Three Stars,Amazon Customer,29-Jul-17,3,It doesn't offer what I thought it would
Pandora,Pandora is terrific,Troy L Pritt,14-Jun-16,5,I like the idea of selecting my own music. It is free. If I like an album I can buy it on Pandora. The variety is outstanding.
Pandora,it is so cool it is easyer then going to youtube when you are in a rush,Kindle Customer,2-Nov-17,5,I love it you should try it so time all it need in a phone and it is easy like 123
Pandora,Rock with Classic Rock on Pandora!,Amazon Customer,24-Jan-17,5,Pandora has my music choices and really like to send it on the bluetooth speakers.
Pandora,"Before You Buy It, Wait.","It is a cool game, well it looks cool At least, it will not download on my kindle fire and its annoying me.",14-Jan-14,2,I bought this by reading the great comments and every single time that I login and just keep it on I actually try to just click it and when I do it says loading and it won't go on. Multiple times I download it again and it works the first time and after that it does the same things. This is now my 7th time getting it.
Pandora,Five Stars,Henrietta Herriott,14-Aug-17,5,Great station
Pandora,Two Thumbs Up !,Caroline,18-Sep-14,5,"A big fan of free radio.  Could do with less commercials, but I love the customization options it offers.  One bug fix I would love to see though, is that on the Kindle Fire HD it won't work with other apps open, even the Silk browser.  Other than that, it's perfect!"
Pandora,Five Stars,Cammy,15-Aug-14,5,We love the variety of music and the ability to choose genres.
Pandora,Love my Country music!,Betty,26-Jun-14,5,Decided it would be easier to take my music with me this way versus a radio.  Downloaded the free app and listened to it on 3 nights to fall asleep with my country music.  I already have it on my Android smartphone but it drains my battery when I use it on there.  It works fabulously.
Pandora,Glitchy on the Kindle Fire HD...,P. Hartung,22-Apr-13,3,"Love pandora as a service and use across other devices as well, but this app needs to be smoothed out for the kindle fire HD.  It often won't shut off (or become mute) when closing the cover, and it also hampers the use of other apps while running simultaneously.It's free, and I trust they'll work out the flaws eventually.  Until then it gets three stars..."
Pandora,Enjoy very much!,GraceLee,29-Mar-16,5,Listen to every day.  Use the alarm clock to wake with music
Pandora,Blues Addict for life.,Amazon Customer,18-Jul-16,5,Love my Blues entertainment every night and playing it with my guitar.
Pandora,Music is so Universal!,Jenice,31-Dec-12,5,"I have an ecclectic taste in music and love my Budha Bar station and chill stations as well as, my New Age Instrumental and other things as well, like Ambient, Dance Electronic or Smooth Jazz. such good stuff!I am a soft skills and technical trainer and play Pandora during my participants breaks and through lunch. The class often asks about the music and where can they get it!"
Pandora,great music app,llindalu,9-Dec-14,4,Love the convenience and variety.  Wish site was easier to navigate however perhaps it's just me.  I have an old I pod on a player that now thanks to Pandora provides all the best music in my sewing room where good radio reception was not available.
Pandora,Awesome!,Charley,25-Nov-15,5,Pandora is awesome and you can put it on any device that you own.  It is the 'boombox' of 2015.  Love it and it brings the past music era's into the here and now.  Love it!
Pandora,"I use it every day, on my phone and ...",Brittney Franks,14-Jun-15,3,"I use it every day, on my phone and on my computer at work, but it's gotten to the point where the ads are getting to be too much. I briefly considered going to ad free listening. But last year it was $3.99 a month, and now it's bumped up to $4.99 a month. Uh... no thank you."
Pandora,Great app,Tanya s.,8-Jun-15,5,I love Pandora.. The fact that I can choose what I want to listen to and subscribe for commercial free music for such a cheap price is awesome... Satellite radio is expensive and you don't get to choose anything
Pandora,Awesome app,Jordan,24-Jan-16,5,This app is completely useful instead of having to go on YouTube and searching for your favorite song I guarantee your favorite song will come on with Pandora
Pandora,Can listen to my favorite songs!,D. Roach,7-Nov-13,5,Love it because I just type in an artist I like and it somehow knows what other artist I like and I can listen to it without many ads at all. I can shuffle my stations and listen to all the music genres I like together . The only thing I don't like is it plays too many live versions of songs and I'd rather hear the studio version.
Pandora,on all my devices and Roku too!,Glen T Roberts,7-Jul-14,5,"Love my Pandora radio! I have several radio stations I have created that did t my changing desires in music. The ads are short, provide a little break and I don't mind them, nothing like commercial radio and announcers constant blabbering, just constant music with brief interludes."
Pandora,Lots of music fun!,Ollie,16-Jun-13,5,"Fast download and used right away. It immediately played songs that I love and new songs to add to my favorites. I appreciate the option to ""like"" and ""dislike"" songs so that Pandora can track what kind of music I want to listen to and create better playlists. Commercials are not big deal. How else would you get this great music app for free?"
Pandora,Perfect,Stephanie,19-Mar-14,5,I love Pandora as i can customize my own station.  I can also make multiple stations for those days when I want to listen to Country and the other days where I need a little spiritual music in my ear.  You can dislike and like songs as you go along to build up your playlist.  Love this app for my Kindle.
Pandora,Five Stars,Kindle Customer cyndi,22-Sep-17,5,"Have been with Pandora for years & if it's music, Pandora's got it!"
Pandora,Great app.,John Galt,17-Feb-16,5,"I still love pandora!I have prime, and google play.  but I still use pandora about... 1/3 of the time.  it's nice to have it totally on autopilot!"
Pandora,I love Pandora for both work and home,Chris Joy,18-Jan-16,4,"I love Pandora for both work and home. I do wish it had less commercials and I had a tad more control over songs, but I have it for free so no real complaints!"
Pandora,Five Stars,Martin Rosenthal,24-Jun-17,5,Can't beat it for its variety and ease.
Pandora,Four Stars,Amazon Customer,25-Oct-17,4,Like my play list. Although they are not able to pull in all the music I request.
Pandora,Love it,Amazon Customer,26-Dec-16,5,Love pandora. Ads pop up here and there but i dnt find them invasive or annoying.
Pandora,Love Pandora!,Cherie Burgess,11-Feb-17,5,Pandora is a great app for listening to the type of music that you like. Love it!
Pandora,Five Stars,Karen Klink,6-Sep-17,5,"Enjoy, enjoy"
Pandora,Not worth it,Kitten,14-Feb-16,1,Couldn't get the app to play on my kindle
Pandora,Music your way,Javan W. Marks,4-Aug-13,5,"It deserves a 5 star rating because there is nothing out there like it. could there be some improvements now that i have experienced for years now, yes. but they are very small. I would recommend it to anyone who is tired of hearing the insulting to your intelligence commercials and are tired of hearing the same 10 songs played over and over again."
Pandora,Five Stars,C Lewis,2-Sep-16,5,"It's free and plays great music tailored to the person's preference, it does not get any better than that."
Pandora,Music For Whatever Mood You Are In,W Smith - GA,13-Mar-13,5,I love Pandora. I have found stations that I probably wouldn't look for otherwise and genres that compliment the mood I am in. I also like the shuffle feature when I'm not sure what I want to listen to knowing it will be something that I like. This is one of the first apps I added. Knew I had to have this one!
Pandora,Not only do I listen to the artists I love but the suggestions by Pandora have opened me up ...,David Murto,3-Mar-16,5,Not only do I listen to the artists I love but the suggestions by Pandora have opened me up to artists I would never have been exposed to otherwise.
Pandora,... with thumbs up or thumbs down which songs I like and they play those type of songs,Sherman Fontenot,19-Jan-16,5,I listen to cajun french music and they play cajun music and I get to pick with thumbs up or thumbs down which songs I like and they play those type of songs.
Pandora,Love it. They have so many different genre's of ...,stephanie m . lewis,12-May-16,5,Love it. They have so many different genre's of Music and you can also make your own list. I have had it for a long time on my phone
Pandora,angela,Angela oliva,7-Jun-16,5,Pandora is amazing it has all the music I like.Pandora is the best music app to get on papyri storor the app stir.
Pandora,... at work where there is no radio without interference great music pick it save it it's,ollyk5,19-Jul-16,5,Use Pandora all the time at work where there is no radio without interference great music pick it save it it's yours
Pandora,"Good, but unfortunate commercials",AHW,13-Mar-14,3,"I love using pandora personally, but when I use it for a kids station, I don't like that the commercials are sometimes questionable, or strange topics for kids to overhear.  For example, on the Radio for Kids station, there is an egg donation commercial that comes on often that has spurred odd questions."
Pandora,I love it. I have not invested in the ad ...,Julie Hagihara,8-Dec-16,5,I love it.  I have not invested in the ad free version however I am considering it.
Pandora,Pandora rocks!,Marc B,24-Sep-17,5,"App, works well. No problems at all, two thumbs up!!"
Pandora,I love being able to design my own stations to my ...,MeeMee,31-Aug-16,5,Pandora is so accommodating. I love being able to design my own stations to my liking.Thanks Pandora
Pandora,One Star,LPinger,22-Sep-17,1,"The app is constantly stopping, I have to restart it all day long."
Pandora,Five Stars,Richard M.,7-Dec-16,5,Awesome music selection.  Listen to this a lot while doing other work on my laptop.
Pandora,Five Stars,David N. Westfall,25-Jan-17,5,I have enjoyed Pandora on my laptop. It was exciting to also have it on my Fire!
