"Index","Product","Date","Stars","Review"
89,"Amazon",2017-08-30,4,"great service all kinds of music great service all kinds of music. would be great if it had a voice recognition to search for music while you drive"
92,"Amazon",2016-04-07,5,"Works great now. It used to work great until the OS update. I hope they fix it soon. The update makes the app useless."
97,"Amazon",2015-02-20,1,"Not working on my device I have tried over and over again to get this app to open on my phone. I keep getting an Account Error Exception number 45 . I have reported the problem and get no reply from Amazon customer service."
101,"Amazon",2016-11-06,5,"Five Stars Excellent product as advertized"
105,"Amazon",2014-06-15,3,"Lacking content, but free Get free music from a service that you already pay for. How can you not like it!! The selection is a little scarce, but it is new, so I am sure the selection will increase in time. Seems that Amazon would put more effort in their prime video service which is still very limited and lacks the selection of their competitors instead of launching additional services. Just seems a little backwards to me, but I will not complain about something free!!"
106,"Amazon",2014-07-03,1,"I know you are not listening, BUT For all of us that have been using Amazon MP3 since the first Android devices came out, this is a major disappointment. First you snub us with instant video, then you take away tablet support for music and replace it with a beta quality. This after we have already spent significant money buying music from you. Sure i can switch to a new service, but i really had no plans too before this, and really did not want to spend the time. Its hard to understand what your issue is with Android, i am positive that you could develop whatever you want. I wish you would have never showed up on Android, that way I could have built a library on another service to begin with. Very dissapointed. Will have to use the pre-installed version until i can switch my wife and i to something else. Who would have guessed a pre-installed app would come in handy. Good luck with your new fire products. Looks like i will be buying stock in the first amazon alternative that comes along, cause this alienation of such a large customer base makes no business since whatsoever. You are trying to crush Google, but pushing people to them. You could have owned the entire android ecosystem pretty much with prime music and video and apps."
107,"Amazon",2015-06-17,1,"Not happy with Android app I do not know what the core problem is, but I have a Samsung Galaxy S5 AT and T and I have another app that can track things like when apps restart multiple times, consuming resources like RAM memory, response time, and temperature, and for whatever reason, this and all the other Amazon apps have periods where they will restart anywhere from 5 to 47 times in a 5 minute period. Amazon, you gotta fix this, it is not right to be slowing down a competitor's product."
108,"Amazon",2017-03-15,3,"Three Stars Liked it better before changes."
109,"Amazon",2017-03-03,5,"It is great! I adore this app. It is great !"
111,"Amazon",2017-08-31,5,"Five Stars Love this app! Tons of music. Easy to navigate around. 5 stars!"
122,"Amazon",2015-04-23,4,"I like it, wish it had more Hawaiian - - Jawaiian flare I love Amazon Prime and now they have added Prime Music, I like it for the most part - there are a lot of popular songs and some new songs that I get to listen for Free. I took one star away because, like I said before - - it is only POPULAR music. I live in Hawaii and I love it when streaming sites let me listen to my own local music. Granted they have like old Hawaiian Slack Key music, but I am more interested in local Jawaiian music that plays locally over the radio."
123,"Amazon",2016-01-29,5,"no problem I do not understand the negative comments. There is a ton of free music for Prime members. Easy to access and easy to play. And I am a grandma happy"
127,"Amazon",2015-12-31,5,"Music to my ears! I love this app. I am still learning and navigating my way through but it is the only music app I use now! It has a lot to offer!"
133,"Amazon",2015-08-09,5,"Five Stars I just love Amazon Music with Prime Music. can not wait to see what the future holds."
134,"Amazon",2017-04-29,4,"Nice Mix Great its part of Prime"
135,"Amazon",2015-04-30,3,"COULD be a 5 star... I loved this at first. I was excites thinking FINALLY something better than Pandora! But day one songs stopped half way through to load like there was a connection issue each time I left home. I was using 4G so I do not get that. since then, it is happening more and more frequently. Whether I am home or not, on Wi-Fi or 4G. Still keeps stopping mid-song to either load or the app just crashes altogether. It has potential but I am disappointed I had to go back to Pandora."
136,"Amazon",2016-06-18,2,"Nothing to write home about. Its a decent bonus, but its no replacement for anybof my other music apps. The 1st 3 songs I tried to find werent in the collection, and the app does not play well withy android platform. I deleted it."
144,"Amazon",2014-08-12,1,"Since this is still a new feature, we will be holding out to see how it adapts. We have tried using this on several different devices thinking that maybe that the app was just not working with the device yes, we know only 1 device at time. However, the shuffle does not really 'shuffle', the music will just stop without notice, and the Prime music to the computer and the Prime music to the device do not sync.Since this is still a new feature, we will be holding out to see how it adapts."
147,"Amazon",2016-10-05,5,"A lot of good music This even beats itunes! You can get an artist or song with their search!"
156,"Amazon",2017-02-28,5,"Five Stars Love it"
157,"Amazon",2016-04-13,1,"The Worst Amazon Product Ever If I could give this app negative stars, I would.I have been a longtime Amazon customer since the '90's. When the Amazon MP3 app came out, it was great. There were free daily MP3's, and I bought quite a bit of music from my phone. Then in updates it would become sluggish, but then you would get a new Android phone and it would be okay. But then there was the change to Amazon Music, and the authentication scheme Amazon came up with for this would then break my login in other Amazon apps Shopping and Kindle. It became unusable on my last phone. When I got my current phone I tried it again, and it worked for maybe a month, before it suddenly decided that my phone had been registered to someone else and I could not access my cloud library or Prime Music.Amazon Customer Support for this is pretty much non-existent--they will only talk to you on the phone, and then they will tell you to wipe your phone and start over reinstalling EVERYTHING, which is ridiculous.I recently tried the app again, and it was miraculously working for no obvious reason though the Kindle app would then keep asking me to re-login, but with this most recent update it is now once again broken for me--it gives me a network error, so I tried reverting to my backup of the previous version, and guess what, it now says that my phone was registered to someone else and I can not access my cloud library or Prime Music.So, I give up Amazon. I have bought a ton of crap from you, and I would probably buy a lot more music from you if I could buy it on my phone and be an even happier Prime customer if I could listen to Prime Music on my phone, but this app is a total disaster and the biggest black mark on my otherwise sterling opinion of your company. The shopping and Kindle apps work great, Music works great on my iPad and Kindle Fire and Fire TV, so I do not know what your problem is."
163,"Amazon",2017-09-30,4,"Four Stars good music"
167,"Amazon",2017-08-24,3,"Too much like right it is an alright music streaming service. My only issue is that its crazy how for Amazon to have all these options such as kindle, echo, music, prime, etc. they can not seem to keep up with the updated payment information for one Amazon account. It makes no sense to me AT ALL."
170,"Amazon",2017-09-06,5,"😊 Selection is good for the type of music i preferEasy to search and download"
173,"Amazon",2016-06-14,4,"Four Stars good"
174,"Amazon",2017-06-15,5,"Five Stars Pretty awesome access to tons of music included with my Prime membership."
175,"Amazon",2015-04-19,2,"Amazon Music with Prime Music Very obtuse, difficult to navigate and select genre which are very limited. I had an even harder time with it on my phone. It also says you can download music if you are a Prime member but I haven't figured out how to do it without paying for the songs. If it is possible that is fine but it apparently is not user friendly."
179,"Amazon",2016-08-21,5,"Love this perk with prime! I love being able to stream music free on my phone with the app. This is a great perk for amazon prime members!We stream at home and hook my phone to a cord that runs through the stereo and surround speakers so I can listen while cooking. I also do this in the car.I love all the chanel's offered."
180,"Amazon",2014-07-29,3,"No artist data When I use with Bluetooth in car the displayed data is missing artist. I can see track and album but artist data missing. This only happens with Amazon music. Google, songza, milk, Pandora, Spotify all display complete data"
181,"Amazon",2016-02-16,3,"It plays and allows you to choose most songs. The 500 song limit is cheesy, the radom function is not! Program runs extremely slow when adding songs to playlist"
186,"Amazon",2015-09-26,1,"IT KEEPS CRASHING... AND CRASHING... AND OOPS... CRASHED LIKE AN 80 YEAR OLD INTO A FARMERS MARKET! I have this on my HTC one M8 and it crashes every few minutes. I have used it in the past with no issues but with this HTC one M8 it crashes and then wants me to send a report. Every time this happens it shuts does whatever other program i am using. GAAAA! HEEEEEEELLLLP!!!YES I have tried updating does not helpYES I have tried to install/re-install its factory so there is no total uninstall"
199,"Amazon",2017-01-19,5,"Five Stars it is the best one there is!"
205,"Amazon",2014-07-21,4,"Great, but want more access! I love amazon Prime Music. The only reason why I give it four stars is because I can not access it on my other devices and also not with our Fire TV device."
207,"Amazon",2017-10-07,5,"My music I love it!"
210,"Amazon",2014-08-18,3,"Spotify is still a better deal. I like what Amazon is planning on doing with Prime Music, however the selection is still scarce. Secondly it feels like, with Prime Music, they Amazon still want you to purchase music. If you like buying albums of a whole artist go you will like this, but if you like to pick and choose go with Spotify instead. Also, if you like finding obscure, less known or independent artists on Amazon you are going to run into problems. Seriously, at dollar 10 dollars a month dollar 5 for students first time Spotify is a far superior product."
211,"Amazon",2016-11-09,5,"Five Stars Love this app. It has so many features."
212,"Amazon",2016-12-29,1,"Latest update sucks! It was nice having a large selection of free music with my Prime membership, but latest update seems to have taken a lot of that away. As if the Prime membership fee is not enough, you now want me to pay a subscription to listen to music that was once inluded with Prime! Guess you need to be more like the competitors and nickle and dime your customers at every turn!"
215,"Amazon",2016-11-07,2,"Poor upgrade page does not open, see dog pic,s - not as easy as the first version a couple of years ago - makes want to go back to pandora or google tunes -"
216,"Amazon",2017-09-05,5,"My best friend Love the selection of music. Amazon Music is my best friend. it is with me where ever I go."
217,"Amazon",2014-12-14,5,"I usually like to control my music and have copies in folders ... I usually like to control my music and have copies in folders etc, but Amazon Music is such a complete system, when you have prime, I have been moving to it. Thanks Amazon."
218,"Amazon",2015-07-09,5,"Amazon is Great! Streaming works great with the echo of my own library. I do not have prime as a buyer but rather an affiliate because my daughter added me, but I would guess it would be as good a streaming experience as my own library which has the limit of 250 songs in the Amazon Cloud in it plus the ability to add the songs to your library. I haven't a single complaint when it comes to Amazon. They do business the way a business should be run."
223,"Amazon",2017-07-19,5,"Why do not you have this? If your a prime member, there is no reason not to use music. No interruptions, all kinds of choices. A must!"
226,"Amazon",2017-08-30,4,"good quality. Desktop app is nice Lot of music, good quality. Desktop app is nice. But can not cast to chrome cast, and not as user friendly when it comes to offline stuff like Spotify."
229,"Amazon",2015-05-27,1,"Losses track of library I use this to run with. Only problem is everything I log on I have nothing in my library. I have to sign out, sign back in, and redownload the songs in my playlist. Then as soon as I disconnect from WiFi it loses my songs again and I have to pause my workout and do the same process over again. Very updating bug."
234,"Amazon",2016-12-12,1,"This app sucks This app sucks. I read there is not a charge it is free. Ya right until you try to download a song. I wanted to download three or four Christmas songs for our song box to make our lights dance. it is not like I am trying to create a music collection or something!!!!!!!!! Gee wiz"
236,"Amazon",2014-12-27,5,"Buy An Amazon Prime Membership!! NOW!! If you do not see an Amazon Prime Membership paying off, just for the free two day shipping alone, then Do It For The Music!! You will Never have a lack of music that you love, no matter what style, genre, or artist. it is All Here!! And, that is not even mentioning what is available if you have Amazon Fire TV Boxes, or Amazon Fire TV Stick!! At dollar 99.00 per year, that comes out to dollar 8.25 per month!! You can finally say Goodbye to Cable TV, Satellite TV, etc........FOREVER!!! I Did!!"
240,"Amazon",2015-01-02,1,"Completely Useless - Randomly stops stream. Way better options to stream music. The absolute worst streaming music app I have ever used. It constantly stops streaming regardless of the device I am using to listen to music. This happens on any network when I attempt to use the device. It even stops on my Kindle. You would think it if was going to work, the best option would be on the Kindle but nope. I have no problems with Spotify or Pandora ever stopping. If I was not a Prime member, there is no way I would ever use this completely useless services."
249,"Amazon",2015-07-29,5,"I LOVE BEING AN AMAZON PRIME MEMBER! When I first started this membership, I was skeptical with the service. 2 day delivery, free prime music, free prime movies. But boy was I blown away! My wife and I enjoy the Fast and Speedy delivery! When they say Guaranteed in 2 days THEY MEAN IT! The free prime music and movies are better than what I bargained for and for what I paid with that 1 time payment, you will see you get Soo much more! I am just regular guy from NY that found this membership to be a great deal!"
255,"Amazon",2017-03-13,3,"Needs easier connection to Samsung Multiroom. Nice to have on the phone, but it does not work with the Samsung Multiroom app unless you buy songs for your library - at least so far I did not find a way to use it with my bluetooth speaker at home."
260,"Amazon",2017-07-23,4,"Four Stars like it"
263,"Amazon",2016-06-08,5,"great selction really great selection and gteat to have all in 1 place."
264,"Amazon",2014-06-16,1,"Would be great if it worked... On my Samsung Galaxy S4; this app will not play songs from Prime Music. Before the upgrade, I used this app extensively, and liked it. It now either freezes, crashes, or freezes and crashes every time I try to play any of the Prime Music songs. The songs in my library before the upgrade wok fine. So essentially, Prime music has added zero songs for my enjoyment, and the app upgrade has broken the app. Well played!"
271,"Amazon",2017-09-05,5,"awesome awesome music"
273,"Amazon",2016-06-06,5,"Great deal - I already had Prime for free shipping, now I have free music too No commercials - good user interface. The content is not as broad as Spotify but I found lots of music I like. Also, Jason Aldean is on Amazon Music but not on Apple's music site."
279,"Amazon",2015-08-15,3,"I love the idea of one place like prime to do ... I have Rhapsody now, so that is what I have to compare it to. I have to pay a subscription for both prime and rhapsody. The difference is, rhapsody is easier and I do not have to pay additional for a lot of the songs. The easier to use would be to much to write. I love the idea of one place like prime to do videos/music/foodway to expensive!/Shopping but the price and ease needs to get better on prime."
283,"Amazon",2015-07-05,2,"Wide variety of music. Its just ridiculous they want ... Wide variety of music. Its just ridiculous they want dollar 99 up front just to tie you to a contract on something you probably will not use daily."
285,"Amazon",2017-08-23,4,"Four Stars Good app lots of music"
286,"Amazon",2016-01-02,5,"I love this app. This app has worked perfectly for me since I installed it. I can download music and also stream from my library with no problems."
289,"Amazon",2015-05-18,4,"LOVE this app As a Prime member, this app is pretty much an essential on my phone and Kindle Fire. I love creating playlists and have found a lot of great music to listen to for free. I would recommend this over Pandora my previous favorite any day! I wish that it would recommend music as I love to discover new artists but so far I have made it work by cross referencing a certain song with what others have added in playlists containing it."
290,"Amazon",2017-05-29,1,"NoWay Why should I have to pay for it when I am already a prime member? No thanks! !!!!"
291,"Amazon",2016-03-01,1,"CANCELLED Could not make this App work on my device, canceled the order."
294,"Amazon",2016-09-29,4,"I love having this ap to listen to full albums I love having this ap to listen to full albums!it is a pain if it will not load sometimes, but a lot of that is just Internet connection."
295,"Amazon",2015-01-05,5,"Got to have Amazon Music OMG!!! The BEST thing I ever got! I LOVE being able to get the old music I grew up on and the new artists I discover. I have recommended this to everyone I know. The cost of Amazon Prime with all that I get for the dollars is the best money I spend every year. This music just makes it better. I NEVER have trouble playing the music and being able to download music and have it in the cloud so I can hear it anywhere makes this the best music source I have used."
296,"Amazon",2015-10-07,1,"USA issued Credit Card.... seriously? Music Collection under prime could be better, nevertheless i am happy with it because i do not need my spotify subscription--edit--After enjoying the app for about a week it got disabled because i do not have a USA issued credit card... i wonder why my money and international credit card is good to pay for the prime subscription but not good enough to use/buy music with this app..."
297,"Amazon",2016-06-14,5,"Beats Pandora!!! Beats Pandora! You can go back and listen to a song again, skip unlimited, no commercials/advertisements, and it does not stop playing with are you still listening?"
298,"Amazon",2016-07-27,5,"Good deal. Build your own list Good deal. Build your own list."
300,"Amazon",2016-01-26,1,"I have yet to figure out what is free and ... I have yet to figure out what is free and what is not. Got really scared off when I downloaded a playlist and it said 60 songs bought? Tried reaching out to Amazon but never received any reply. I am admittedly not much of a tech person, and so far there haven't been any charges. I deleted the playlist and went back to Pandora which is dummy proof."
301,"Amazon",2016-12-18,5,"Love Great app! I cannot live without my amazon music. You can shop, create play lists and will show up as apart of your regular music app that is on your phone. Keep in mind you can do most of this but I do have prime which may be allowing me to do all of these things."
304,"Amazon",2016-04-03,1,"One Star Really? How about flip a switch And let this run on my Shield Tablet."
312,"Amazon",2017-07-22,4,"Four Stars nice"
318,"Amazon",2016-10-28,5,"Music for everyone😁! I listen to a wide variety of music. Amazon has a lot.I absolutely love the fact that it is commercial free.I am overall happy with it.Unlike Slacker and iheart where you are limited in use Amazon music gives you the freedom to enjoy what you want to hear."
322,"Amazon",2017-01-21,5,"Five Stars Great job"
328,"Amazon",2016-12-16,2,"This app is so bad that I might not renew my Amazon Prime! This used to be a great app. Now it sucks to use on a computer. It takes too much time to get to where I want to be and to move back and forth between different types of music my play list and stations or other playlists. Also, the logo for Amazon Music makes it seem like it has nothing to do with Amazon. I am listening to Pandora at this point. I would have given it a 1, but I like that I can download my favorites playlist onto my tablet and play in my vehicle."
330,"Amazon",2017-03-15,5,"Five Stars k"
331,"Amazon",2016-09-29,3,"Good but just top pop It is a good addition to prime but the music is still just top pop of what they want you to hear. I would like more off beat choices"
332,"Amazon",2017-04-05,4,"Only USA Huge number of songs and type of music"
337,"Amazon",2017-02-11,5,"Does what is expected... Does what is expected..."
354,"Amazon",2017-04-26,5,"super super happy with Amazon Music. super super happy with Amazon Music."
355,"Amazon",2014-07-09,2,"Limited Listening Options I am very unhappy with the shift from Cloud Player t Amazon Music. In most corporate setting employees are not given the choice of browsers they use or what programs they may install, which in this case means I can no longer listen to my purchased music at work. The compatibility with only the latest IE browsers or installing non-IE browsers in an imposibility. I understand Amazon is in the money-making business but some of the recent changes make me think customer service is no longera priority."
356,"Amazon",2017-06-26,5,"The best music app out there! Greatest app! All your favorite songs, no adds, unlimited skips and replays. does not ask you if you are still listening. Just another awesome addition to your Amazon Prime account"
363,"Amazon",2016-04-22,4,"A nice addition to my Prime membership A nice addition to my Prime membership. I think overall it is a nice music service but the lack of tracks available has me still using Spotify for most of my music streaming. All in all I am pleased, its not like I am paying more for it anyways. For something that I get with my membership its more than I would expect."
364,"Amazon",2016-06-07,5,"Five Stars ALMOST better than Spotify winking"
365,"Amazon",2017-10-14,5,"Five Stars I love Amazon music period. On any device it is awesome."
368,"Amazon",2016-09-13,5,"Five Stars 😊"
371,"Amazon",2013-11-06,1,"Disappointed. does not work on my HTC Rezound. can not say for other phones. I have HTC Rezound, and I do not know why, but this app does not work. I have updated it, reinstalled it completely and it still will not show my songs. If I flip back and forth with the buttons between store and music player/cloud, it will flash the song for half a second I can see the album art, but there is no way to play it. My music just does not show up in the app. My husband also played with it, trying to get it to work, and had no more success than I."
374,"Amazon",2017-06-14,5,"Five Stars I enjoy getting older music"
376,"Amazon",2017-05-23,5,"Five Stars Love it, it play all my favorites"
378,"Amazon",2017-01-11,4,"Beware Windows 10 I would have given it 5 stars, however, when my Windows 8 computer crashed, during the transfer to the dreaded and despised Windows 10, I lost the ability to play or rip from Amazon Music. No one has been able to correct this; so I now purchase cds."
389,"Amazon",2017-07-29,5,"Five Stars Great app!"
393,"Amazon",2015-05-04,5,"Amazon Music App Along with Amazon Prime -- A Finally I have foud a space to store and share my choice in music. I like having the player on my computer and my phone. Now trying to figure out about storing in the cloud and playing while streaming--or should I download the song?I am still learning but love this app. I have Amazon Prime, and they share lots of the music I like for free.Definitely my most favorite music playing app."
395,"Amazon",2016-10-30,1,"will not let me download to my phone... ... will not let me download to my phone... keeps giving me an error message.. just wish I could have the old version back"
398,"Amazon",2015-09-29,4,"I love the mixed music selections they offer its almost like ... I love the mixed music selections they offer its almost like iTunes Match only better. They already know what albums I am going to like and suggest them so that I can add them to my play list. Best of all I do not have to pay any extra money it is already included with my Prime Membership. I do not even use iTunes or beats what ever they are calling themselves these days"
399,"Amazon",2015-05-03,4,"Gotta do some searching to get it for BB. I tried to download to my BB via amazon apps and amazon mobile. No luck so, had to use a mirror to download.The app is great, but since it is android and not BB, there is a hiccup once in a while that causes it to crash. Otherwise, the sound quality at the highest level in a compatible wi-fi environment is fantastic, and it is better than having to listen to pandora or spotify with their commercials."
401,"Amazon",2014-08-29,2,"Prime Music Service Review Considering the cost of a Prime Membership it would be nice to see more mp3 downloads for offline listening. It seems to me that having more songs streamed to Prime Members would not cost Amazon all that much more money, especially since most of them are VERY old songs!!! Also, a few more of the newer recordings, or, compilation albums would be nice."
403,"Amazon",2017-02-28,1,"Junk As few features they have for yhis app you might think they would work, unfortunately often they do not. Feels like this app is just a marketing ploy to make people think they are getting more from Amazon prime then they will."
406,"Amazon",2017-06-06,2,"Half of the time I cannot listen to what I ... Half of the time I cannot listen to what I download or it will be playing and stop for no apparent reason or show no internet when internet is not required. Needs some work"
408,"Amazon",2015-08-14,2,"I *LOVE*Amazon Prime Music, BUT... I was one of the early Prime subscribers, and generally am more than pleased by Amazon, their products and services, and usually have nothing bad to say about Amazon....However, that having been said, while I do enjoy Amazon Prime Music APM I am forced to uninstall it. It is a HUGE, space-consuming app! Let me elaborate: I have had this smart phone for just barely over a year. I do not download many apps and am very selective and careful about apps I do d/l. APM is terrible about wasting space needlessly, in one of the folders within APM, I found numerous folders with names such as 500 and 47 and 200, etc. Within EACH of these numerous folders, I found the EXACT same images of album covers, many/most of which I never played, viewed, downloaded, etc. - most were from the and number 34;Recommended for you and number 34; suggestions ubiquitous on Amazon, and the other suggestions, etc.,made by Amazon Not only does APM d/l and store numerous copies of the same images and data, there is apparently no mechanism to go back and delete the old unnecessary space-destroying! data! Even after using other apps to go through and delete all the duplicate images and data, the app STILL was taking OVER 1.96GIGABYTES! -let me make this perfectly clear here, that is nearly 2.0 Gigabytes, NOT Megabytes!! WHY ON EARTH DOES AN APP THAT MERELY STREAMS and PLAYS MUSIC and number 60;need and number 62; TO BE THAT LARGE?!?!?!?!? This is absolutely RIDICULOUS, I *HOPE* someone at Amazon is reading this and looking into this...With APM installed, I was constantly receiving messages from my phone that space was critical and some functions may not work. That was correct, I missed phone calls, could not receive texts, etc., and was unable to update my phone and/or other apps I had installed. This includes my Android system OS, obviously, and virus/malware protection updates, ... and, just to be clear, this overwhelming space-consumption is WITHOUT ANY downloaded music files, and AFTER having used other apps to clean up all the duplicated and unnecessary files!!! Completely unacceptable, thus it gone, uninstalled. When Amazon goes through and rebuilds APM so that it only takes up a REASONABLE amount of space on our phones which are NOT huge space-storage devices, to begin with!, I will reconsider downloading APM to my phone again!"
418,"Amazon",2011-08-27,5,"best mp3 player, and if it could play drm files it would be perfect Having my favorite music with me is vital to my enjoyment of the day. it is easy with iphones, but iphones suck, so I really wanted an easy way to put my music on my Android. this app is the answer. not only is it an exceptionally well designed app, but it has very good variety and some extremely nice features that make it superior to itunes in my opinion. however, being a classical music listener I would love to see a little variety even though it is already large in this genre. another problem I have which is really more to do with Apple with it is that it can not play files that are drm protected. granted this is a good way to eliminate competition on apples part, but it is exceptionally annoying. this is more or less a perfect app however, and I highly recommend it."
420,"Amazon",2014-12-28,4,"Good Value Woeks a little quirky when selecting another album to play but it may just me me learning to use it. Good value with the Prime membership."
422,"Amazon",2017-08-28,5,"Five Stars it is pretty good!"
430,"Amazon",2016-11-16,5,"Five Stars good"
433,"Amazon",2017-07-18,5,"Super great!!!! It has everything. Lots of good listening. Highly guarantee it."
441,"Amazon",2015-08-06,5,"Perhaps the best The music selection is outstanding and the access could not be any easier. Th esuggestions are almost always spot on or very close to what I enjoy and prefer. One more reason that I really enjoy my Prime Membership and plan on being a life long member."
443,"Amazon",2017-01-22,3,"Problems Combining! I have an audible account in my name and my wife has Amazon Prime in hers. I really wish there was a way to consolidate both accounts. and why the heck cant I listen to music on me echo and my wife is listening in her car? that is just stupid."
446,"Amazon",2017-08-31,5,"Best way to order only the songs you like at ... Best way to order only the songs you like at a very reasonable cost!Continue adding older music of all kind and artist that are hard to remember 😘"
448,"Amazon",2017-09-29,5,"What Ever You Want ! Its here If You Want It ."
449,"Amazon",2015-12-18,2,"Two Stars i use google play music - it has EVERYTHING you could imagine and more."
454,"Amazon",2016-04-25,5,"I rarely use Prime Video, but Prime Music was an unexpected surprise! I have had Prime since it was first offered years ago, simply because it seems I order everything from Amazon and, well, like to receive things as quickly as possible. I appreciated the Video's that came later included for members, but to be perfectly honest, the selection seemed limited and unexciting so I rarely use it. I noticed in passing, this new Prime Music and imagined it would also be woefully deficient so never bothered to try it. Until a friend mentioned it enthusiastically to me, so I just this week put the app on my Android. Who knew! I still haven't done a thorough testing after just a few days, but have been extremely impressed by the artists represented. Considering the price of pay music services, this alone covers the cost of Prime. Now, I would keep Prime and did have it long before any of the added offerings were tacked on due to the volume of things I order every year. But if your hesitating, or think this Music service might be a bare bones lame offering, do not hesitate. Loving it! What a nice added bonus to a service I already loved! No, I do not work for Amazon! Just an honest and frankly unexpected appraisal."
455,"Amazon",2014-04-07,1,"does not import everything over very accurately Disappointed that it messed all my music up when it imported it over from i-tunes - it mixed a lot of the album covers up with the wrong albums and tracks and does not import all types of audio files.Also find it a little frustrating to navigate through.The idea is great, but I feel I have wasted my £21.00 yearly subscription and could have spent it better on another product."
458,"Amazon",2016-09-30,3,"Not much music choices and no international genres of music ... Not much music choices and no international genres of music either... Amazon has a long way to go to make it relevant"
460,"Amazon",2015-06-21,3,"Needs some kinks worked out I am a loyal Amazon customer, and have been for years. I was really excited when I learned that my Prime subscription included the music service. I was even more excited to use the new Amazon Prime Stations feature. I thought it would be great to no longer use Pandora's ad-laden app. Well, beyond the intrusive nature that Amazon apps have evolved into seriously, Bezos, what is up with the lack of privacy? that some others have commented on, the music app needs some help in its basic functionality. it is cumbersome to navigate the search feature you have to be in just the right sub-area of the app to find what you are looking for. The stations would be great if there were a way at all to search or organize them. As it is now, there are so many stations 100's and as far as I am able to tell, they are not really organized in any way, rendering them much less useful. I am not sure why there is not a way to search the stations or at least save your favorite ones.Come on, Amazon! Step up your game with your app design!"
465,"Amazon",2016-02-10,5,"LOVE IT !!!!! No longer do I have to carry around CD's anymore and haven't done so in years. Recently, I my music library was just not organized like I wanted it to be. I have several different categories rock, classical, country, alternative, comedy, Halloween sounds for trick or treaters, Christmas music for sitting around the house, etc. and have all of it totally organized in its own category. If I am in the mood for country, I will just scroll to country, hit shuffle all and hit play and all country songs on my playlist can be heard in no particular order. Whether it is on my smartphone or on my tablet, it is well worth it !!!"
468,"Amazon",2016-09-10,1,"Really hate that I can not just download my songs from Amazon ... Really hate that I can not just download my songs from Amazon and just play it without having this downloaded.When I open it, it randomly plays songs automatically.Even if I am doing something wrong, I do not want to have to download this to play a song..."
